Top3 Casual Tissue	Tissue	Gene	ENSG ID	Gene Function	Chromosome	Start	End	ENET.P	MASHR.P	bestT.P	BLUP.P	LASSO.P	TOP1.P	UTMOST.P	ENET.EZ	ENET.Z	ENET.R2	MASHR.EZ	MASHR.Z	bestT.Z	bestT.R2	BLUP.Z	BLUP.R2	LASSO.Z	LASSO.R2	TOP1.Z	TOP1.R2
	Whole Blood	LSM6	ENSG00000164167.10	protein coding	chr4	146175685	146200000			3.6e-07	3.6e-07									-5.0e+00	5.8e-04	-5.0e+00	5.8e-04				
	Whole Blood	SUOX	ENSG00000139531.12	protein coding	chr12	55997180	56006641	1.7e-08	6.7e-08	3.5e-07	1.5e-07	3.3e-08	3.5e-07		-9.4e-01	-5.6e+00	1.7e-01	-5.8e-01	-5.3e+00	-5.0e+00	1.3e-01	-5.2e+00	1.2e-01	-5.5e+00	1.2e-01	-5.0e+00	1.3e-01
	Whole Blood	RPS26	ENSG00000197728.9	protein coding	chr12	56041853	56044675	5.5e-08		1.3e-07	9.8e-08	1.3e-07	2.0e-07		1.7e-01	5.4e+00	6.6e-01			5.2e+00	5.6e-01	5.3e+00	5.2e-01	5.2e+00	5.6e-01	5.1e+00	5.4e-01
	Whole Blood	ERBB3	ENSG00000065361.14	protein coding	chr12	56079857	56103505		3.7e-08									-5.1e+00	-5.5e+00								
	Whole Blood	LINC00324	ENSG00000178977.3	lincRNA	chr17	8220642	8224043	1.7e-06							1.2e+00	4.7e+00	5.3e-02										
No.2 Causal	Adipose Subcutaneous	SUOX	ENSG00000139531.12	protein coding	chr12	55997180	56006641	3.2e-06	1.8e-07	2.0e-07	3.3e-06	4.8e-07	2.0e-07		-8.1e-01	-4.6e+00	1.3e-01	-5.7e-01	-5.2e+00	-5.1e+00	4.2e-02	-4.6e+00	3.9e-02	-5.0e+00	3.7e-02	-5.1e+00	4.2e-02
No.2 Causal	Adipose Subcutaneous	IKZF4	ENSG00000123411.14	protein coding	chr12	56007659	56038435	3.8e-07	2.3e-07	2.7e-07	6.6e-08		2.7e-07		1.1e+00	5.0e+00	6.1e-02	1.0e+00	5.1e+00	5.1e+00	4.8e-02	5.4e+00	1.7e-02			5.1e+00	4.8e-02
No.2 Causal	Adipose Subcutaneous	RPS26	ENSG00000197728.9	protein coding	chr12	56041853	56044675	6.6e-08		6.1e-08	4.1e-08	9.0e-08	2.0e-07		1.7e-01	5.4e+00	7.6e-01			5.4e+00	6.8e-01	5.4e+00	6.3e-01	5.3e+00	6.8e-01	5.1e+00	6.5e-01
No.2 Causal	Adipose Subcutaneous	ERBB3	ENSG00000065361.14	protein coding	chr12	56079857	56103505				3.9e-07	9.2e-07										5.0e+00	-1.4e-03	4.9e+00	-2.6e-03		
No.2 Causal	Adipose Subcutaneous	ESYT1	ENSG00000139641.12	protein coding	chr12	56128056	56144671				4.3e-06											4.5e+00	-2.4e-03				
No.2 Causal	Adipose Subcutaneous	CTD-2325M2.1	ENSG00000267939.1	lincRNA	chr19	8008729	8016025	3.1e-06							3.9e-01	4.6e+00	1.2e-01										
No.2 Causal	Adipose Subcutaneous	CCNE1	ENSG00000105173.13	protein coding	chr19	29811898	29824308					3.1e-06												4.6e+00	7.4e-02		
	Adipose Visceral Omentum	SUOX	ENSG00000139531.12	protein coding	chr12	55997180	56006641	1.4e-07	6.3e-08	3.5e-07		3.5e-07	3.5e-07		-2.1e+00	-5.2e+00	7.1e-02	-5.2e-01	-5.4e+00	-5.0e+00	4.3e-02			-5.0e+00	2.0e-02	-5.0e+00	4.3e-02
	Adipose Visceral Omentum	IKZF4	ENSG00000123411.14	protein coding	chr12	56007659	56038435		2.1e-07									2.3e+00	5.1e+00								
	Adipose Visceral Omentum	RPS26	ENSG00000197728.9	protein coding	chr12	56041853	56044675	6.2e-08		1.5e-07	6.2e-07	7.7e-08	2.0e-07		1.5e-01	5.4e+00	7.6e-01			5.2e+00	7.4e-01	4.9e+00	6.8e-01	5.3e+00	7.2e-01	5.1e+00	6.9e-01
	Adipose Visceral Omentum	ERBB3	ENSG00000065361.14	protein coding	chr12	56079857	56103505		3.7e-08									-4.7e+01	-5.5e+00								
