NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GATD3	1	GATD3A	
KANSL1-AS1	1	KANSL1-AS1	
LHX1	1	LHX1	
EMILIN3	1	EMILIN3	
PON1	1	PON1	
SLC18A2	1	SLC18A2	
GPAT2	1	GPAT2	
ADRA1D	1	ADRA1D	
IKBKE	1	IKBKE	
LHX1-DT	1	LHX1-DT	
ANO2	1	ANO2	
SIX6	1	SIX6	
SATL1	1	SATL1	
RLBP1	1	RLBP1	
RHBDL2	1	RHBDL2	
FAM166C	1	FAM166C	
PLAG1	1	PLAG1	
DNAJC28	1	DNAJC28	
SCML2	1	SCML2	
ZNF571-AS1	1	ZNF571-AS1	
OPRD1	1	OPRD1	
SASS6	1	SASS6	
MUC20	1	MUC20	
UXT-AS1	1	UXT-AS1	
PLCXD1	1	PLCXD1	
ZNF324B	1	ZNF324B	
ZNF354C	1	ZNF354C	
RXFP1	1	RXFP1	
GOLGA6L10	1	GOLGA6L10	
CENPE	1	CENPE	
FAM228A	1	FAM228A	
DLX5	1	DLX5	
RHOXF1	1	RHOXF1	
LINC02293	1	LINC02293	
TMEM238	1	TMEM238	
KIF4A	1	KIF4A	
GPR101	1	GPR101	
SLC4A5	1	SLC4A5	
LINC01616	1	LINC01616	
ARHGAP28	1	ARHGAP28	
PWRN1	1	PWRN1	
LYPD5	1	LYPD5	
ZBTB39	1	ZBTB39	
KMT5C	1	KMT5C	
SLC35E2B	1	SLC35E2B	
TRPM8	1	TRPM8	
SOSTDC1	1	SOSTDC1	
ARL17B	1	ARL17B	
ANKRD18A	1	ANKRD18A	
ZNF234	1	ZNF234	
ZNF285	1	ZNF285	
GRP	1	GRP	
HAUS5	1	HAUS5	
NXNL2	1	NXNL2	
ENPP1	1	ENPP1	
ANKRD2	1	ANKRD2	
SOX1	1	SOX1	
GPR63	1	GPR63	
PROC	1	PROC	
TTN	1	TTN	
HCRTR1	1	HCRTR1	
LINC01497	1	LINC01497	
KCNS2	1	KCNS2	
RAP2C-AS1	1	RAP2C-AS1	
PCDHB13	1	PCDHB13	
IGSF10	1	IGSF10	
SAMD3	1	SAMD3	
KRTAP5-AS1	1	KRTAP5-AS1	
ZNF343	1	ZNF343	
ZNF618	1	ZNF618	
THG1L	1	THG1L	
C1orf94	1	C1orf94	
VIPR2	1	VIPR2	
NPIPA5	1	NPIPA5	
TTLL11	1	TTLL11	
SFR1	1	SFR1	
TEPP	1	TEPP	
ZNF646	1	ZNF646	
C8orf34-AS1	1	C8orf34-AS1	
CCNE2	1	CCNE2	
NR6A1	1	NR6A1	
TC2N	1	TC2N	
CCDC153	1	CCDC153	
REM2	1	REM2	
ZNF793	1	ZNF793	
CNTD1	1	CNTD1	
HMGN3-AS1	1	HMGN3-AS1	
PABIR3	1	FAM122C	
XKR7	1	XKR7	
LRRC37A2	1	LRRC37A2	
PTGIS	1	PTGIS	
CILP2	1	CILP2	
C14orf39	1	C14orf39	
USHBP1	1	USHBP1	
RBL1	1	RBL1	
CPLX3	1	CPLX3	
TICAM2	1	TICAM2	
C1orf74	1	C1orf74	
DNMT3A	1	DNMT3A	
ZNF674	1	ZNF674	
NTS	1	NTS	
POMC	1	POMC	
CEP83-DT	1	CEP83-DT	
COL11A1	1	COL11A1	
MIR124-1HG	1	LINC00599	
EFHB	1	EFHB	
TBC1D8B	1	TBC1D8B	
GDF6	1	GDF6	
CDKL1	1	CDKL1	
CLEC3B	1	CLEC3B	
IDH1-AS1	1	IDH1-AS1	
ZNF547	1	ZNF547	
PABPC5-AS1	1	PABPC5-AS1	
ZFP69B	1	ZFP69B	
MIR137HG	1	MIR137HG	
PRSS36	1	PRSS36	
PAQR7	1	PAQR7	
PAQR5	1	PAQR5	
INKA2	1	INKA2	
PRLR	1	PRLR	
CFAP418	1	C8orf37	
PTGER4	1	PTGER4	
LINC02418	1	LINC02418	
ZNF391	1	ZNF391	
AMER1	1	AMER1	
VAV1	1	VAV1	
DNA2	1	DNA2	
ZSWIM3	1	ZSWIM3	
GMIP	1	GMIP	
ZNF785	1	ZNF785	
ZNF404	1	ZNF404	
BICC1	1	BICC1	
CEP44	1	CEP44	
ZNF605	1	ZNF605	
COX6B2	1	COX6B2	
LINC01301	1	LINC01301	
CALCRL	1	CALCRL	
LGR5	1	LGR5	
HAS2-AS1	1	HAS2-AS1	
ZNF169	1	ZNF169	
RHBDL3	1	RHBDL3	
EFCAB10	1	EFCAB10	
POGLUT2	1	POGLUT2	
CHRM5	1	CHRM5	
DUSP19	1	DUSP19	
GRM3	1	GRM3	
SEMA3D	1	SEMA3D	
TLE6	1	TLE6	
DACH1	1	DACH1	
SHANK1	1	SHANK1	
ZNF443	1	ZNF443	
TTC26	1	TTC26	
CARNMT1	1	CARNMT1	
PLEKHH2	1	PLEKHH2	
ACVR1C	1	ACVR1C	
ITGA9-AS1	1	ITGA9-AS1	
MAPK12	1	MAPK12	
TTC30B	1	TTC30B	
EXO5	1	EXO5	
ST20-AS1	1	ST20-AS1	
AMER3	1	AMER3	
SOGA3	1	SOGA3	
GPR75	1	GPR75	
TNNI3K	1	TNNI3K	
TMEM249	1	TMEM249	
NEK5	1	NEK5	
CFAP100	1	CFAP100	
ZNF670	1	ZNF670	
C19orf81	1	C19orf81	
DNAH14	1	DNAH14	
PABPC5	1	PABPC5	
CWC22	1	CWC22	
PURG	1	PURG	
MT-ND6	1	MT-ND6	
LRRC17	1	LRRC17	
CSMD3	1	CSMD3	
ZDHHC23	1	ZDHHC23	
FUT4	1	FUT4	
DPH6-DT	1	DPH6-DT	
ACTR3-AS1	1	AC104653.1	
ZNF284	1	ZNF284	
ZNF287	1	ZNF287	
TGFA	1	TGFA	
FBXL13	1	FBXL13	
CC2D2B	1	CC2D2B	
LINC01089	1	LINC01089	
NFXL1	1	NFXL1	
FAM210B	1	FAM210B	
DDN	1	DDN	
ONECUT1	1	ONECUT1	
GXYLT1	1	GXYLT1	
AGAP5	1	AGAP5	
TNFAIP6	1	TNFAIP6	
SPIN4	1	SPIN4	
NEU4	1	NEU4	
RNU6ATAC35P	1	RNU6ATAC35P	
CPB2-AS1	1	CPB2-AS1	
CCDC180	1	CCDC180	
VPS13A	1	VPS13A	
RHOV	1	RHOV	
GATA3	1	GATA3	
KIT	1	KIT	
SIX3	1	SIX3	
IPP	1	IPP	
LHX9	1	LHX9	
DOK1	1	DOK1	
TMEM132D	1	TMEM132D	
ZNF222	1	ZNF222	
CFAP61	1	CFAP61	
RBM41	1	RBM41	
CSAD	1	CSAD	
RFTN1	1	RFTN1	
DEUP1	1	DEUP1	
TMEM79	1	TMEM79	
PTHLH	1	PTHLH	
ROR1	1	ROR1	
ZNF318	1	ZNF318	
BACH2	1	BACH2	
ZNF564	1	ZNF564	
SUV39H2	1	SUV39H2	
ZSCAN31	1	ZSCAN31	
ZNF208	1	ZNF208	
CCDC148	1	CCDC148	
ZNF502	1	ZNF502	
ZNF660	1	ZNF660	
ZNF549	1	ZNF549	
RGS22	1	RGS22	
SLC19A3	1	SLC19A3	
ZNF671	1	ZNF671	
NKAPL	1	NKAPL	
A1BG-AS1	1	A1BG-AS1	
RTL10	1	RTL10	
MIR4500HG	1	MIR4500HG	
IZUMO4	1	IZUMO4	
GLYATL1	1	GLYATL1	
ZC3H6	1	ZC3H6	
UBXN10	1	UBXN10	
MDGA2	1	MDGA2	
MAMSTR	1	MAMSTR	
TMEM74	1	TMEM74	
ZNF235	1	ZNF235	
GABRA4	1	GABRA4	
SOX12	1	SOX12	
DNAH6	1	DNAH6	
TMEM81	1	TMEM81	
PCDHB5	1	PCDHB5	
BMP8B	1	BMP8B	
TDRD6	1	TDRD6	
LINC01355	1	LINC01355	
PKNOX2	1	PKNOX2	
ADAM19	1	ADAM19	
SOHLH2	1	SOHLH2	
TAF3	1	TAF3	
CHRNA7	1	CHRNA7	
IRX1	1	IRX1	
NRIR	1	NRIR	
ZNF223	1	ZNF223	
KBTBD8	1	KBTBD8	
