Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,PRSS16,ENSG00000112812.15,protein-coding,FUSION,-4.89E+00,1.00E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Blood,BTN3A2,ENSG00000186470.13,protein-coding,FUSION,5.33E+00,1.00E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Blood,ZSCAN16,ENSG00000196812.4,protein-coding,FUSION,-6.11E+00,1.00E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,ZC3H7B,ENSG00000100403.11,protein-coding,FUSION,5.73E+00,1.01E-08,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Nucleus Accumbens,SORCS3,ENSG00000156395.12,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.09E+00,1.02E-10,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Caudate Basal Ganglia,ZNF184,ENSG00000096654.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.80E+00,1.02E-15,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,NMU,ENSG00000109255.11,protein-coding,FUSION,4.89E+00,1.03E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Prefrontal Cortex,GCH1,ENSG00000131979.18,protein-coding,MOSTWAS,6.10E+00,1.03E-09,TWASP000131
Major Depression Disorder,Depressive Disorder,Whole Blood,RERE,ENSG00000142599.17,protein-coding,Summary-PrediXcan(S-PrediXcan),-4.84E+00,1.03E-11,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RPL31P12,ENSG00000227207.2,processed_pseudogene,FUSION,-1.00E+01,1.04E-23,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Spinal Cord,TMEM258,ENSG00000134825.15,protein-coding,Summary-PrediXcan(S-PrediXcan),4.51E+00,1.06E-06,TWASP000156
