Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,ARL17B,ENSG00000228696.8,protein-coding,FUSION,-4.42E+00,1.00E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LRRC37A,ENSG00000176681.14,protein-coding,FUSION,4.41E+00,1.05E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LINC02210,ENSG00000204650.14,transcribed_unitary_pseudogene,FUSION,4.88E+00,1.07E-06,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain Cortex,LRRC37A4P,ENSG00000214425.7,transcribed_unprocessed_pseudogene,FUSION,-4.40E+00,1.10E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RPS26P8,ENSG00000204652.6,processed_pseudogene,FUSION,4.39E+00,1.14E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LRRC37A4P,ENSG00000214425.7,transcribed_unprocessed_pseudogene,FUSION,-4.39E+00,1.14E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,KANSL1-AS1,ENSG00000214401.4,antisense,FUSION,4.39E+00,1.15E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain Nucleus Accumbens,ARHGAP27,ENSG00000159314.11,protein-coding,FUSION,4.38E+00,1.16E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RP11-259G18.1,ENSG00000261575.2,transcribed_unprocessed_pseudogene,FUSION,4.86E+00,1.16E-06,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Cerebellar Hemisphere,NME6,ENSG00000172113.8,protein-coding,UTMOST,7.50E-02,1.17E-05,TWASP000117
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RP11-156P1.2,ENSG00000262633.2,protein-coding,FUSION,4.38E+00,1.18E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MAPK8IP1P1,ENSG00000262500.1,processed_pseudogene,FUSION,4.37E+00,1.22E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Adult Cerebral Cortex,RN7SL199P,ENSG00000265315.1,misc_RNA,FUSION,4.37E+00,1.22E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain Cerebellum,PLEKHM1,ENSG00000225190.10,protein-coding,FUSION,-4.37E+00,1.27E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Adult Cerebral Cortex,LRRC37A,ENSG00000176681.14,protein-coding,FUSION,4.84E+00,1.28E-06,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LRRC37A,ENSG00000176681.14,protein-coding,FUSION,4.84E+00,1.28E-06,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Dorsal Lateral Prefrontal Cortex,DDHD2,ENSG00000085788.13,protein-coding,FUSION,-7.30E-02,1.30E-05,TWASP000117
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RP11-156P1.2,ENSG00000262633.2,protein-coding,FUSION,4.36E+00,1.32E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,KANSL1,ENSG00000120071.13,protein-coding,FUSION,4.35E+00,1.37E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,XKR6,ENSG00000171044.10,protein-coding,FUSION,-5.27E+00,1.39E-07,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MAPK8IP1P2,ENSG00000263503.1,processed_pseudogene,FUSION,4.34E+00,1.42E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MSRA,ENSG00000175806.14,protein-coding,FUSION,4.33E+00,1.49E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,PTPRE,ENSG00000132334.16,protein-coding,UTMOST,-4.80E+00,1.53E-06,TWASP000162
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LRRC37A2,ENSG00000238083.7,protein-coding,FUSION,4.32E+00,1.56E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RP11-798G7.7,ENSG00000267246.1,processed_transcript,FUSION,4.31E+00,1.61E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MAPT-AS1,ENSG00000264589.2,antisense,FUSION,-4.79E+00,1.66E-06,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Adult Cerebral Cortex,MAPT-AS1,ENSG00000264589.2,antisense,FUSION,-4.79E+00,1.66E-06,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,LRRC37A2,ENSG00000238083.7,protein-coding,FUSION,4.31E+00,1.67E-05,TWASP000083
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MAPT,ENSG00000186868.15,protein-coding,FUSION,4.30E+00,1.70E-05,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Blood,PDIA6,ENSG00000143870.12,protein-coding,FUSION,-4.78E+00,1.76E-06,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,MAPT,ENSG00000186868.15,protein-coding,FUSION,-4.77E+00,1.81E-06,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RP11-10A14.3,ENSG00000254340.1,antisense,FUSION,-4.77E+00,1.82E-06,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Blood,XRN2,ENSG00000088930.7,protein-coding,FUSION,5.63E+00,1.82E-08,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,RPS26P8,ENSG00000204652.6,processed_pseudogene,FUSION,4.77E+00,1.83E-06,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Uterus,ANGEL1,ENSG00000013523.9,protein-coding,UTMOST,4.76E+00,1.89E-06,TWASP000162
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain Nucleus Accumbens,CTSB,ENSG00000164733.20,protein-coding,FUSION,4.75E+00,2.00E-06,TWASP000042
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,CRHR1,ENSG00000120088.14,protein-coding,FUSION,-4.75E+00,2.04E-06,TWASP000004
Autism Spectrum Disorder,Autism Spectrum Disorder,Brain,KANSL1,ENSG00000120071.13,protein-coding,FUSION,4.26E+00,2.08E-05,TWASP000042
