e	z	p	f	g	d	meth	c	t	tis
ENSG00000139531.12	NA	3.8e-07	NA	SUOX	Anorexia	bestP_UTMOST_bestZ_noZalg	webtwas	webtwas_internal	Joint Tissues
ENSG00000197728.9	NA	1.4e-07	NA	RPS26	Anorexia	bestP_UTMOST_bestZ_noZalg	webtwas	webtwas_internal	Joint Tissues
ENSG00000179958.8	NA	1.5e-08	NA	DCTPP1	Anorexia	bestP_UTMOST_bestZ_noZalg	webtwas	webtwas_internal	Joint Tissues
ENSG00000197728.9	5.4	5.5e-08	NA	RPS26	Anorexia	bestP_ENET_bestZ_ENET	webtwas	webtwas_internal	Whole Blood
ENSG00000178977.3	4.7	1.7e-06	NA	LINC00324	Anorexia	bestP_ENET_bestZ_ENET	webtwas	webtwas_internal	Whole Blood
ENSG00000123411.14	5.4	6.6e-08	NA	IKZF4	Anorexia	bestP_BLUP_bestZ_BLUP	webtwas	webtwas_internal	Adipose Subcutaneous
ENSG00000197728.9	5.4	4.1e-08	NA	RPS26	Anorexia	bestP_BLUP_bestZ_ENET	webtwas	webtwas_internal	Adipose Subcutaneous
ENSG00000197728.9	5.4	4.1e-08	NA	RPS26	Anorexia	bestP_BLUP_bestZ_bestT	webtwas	webtwas_internal	Adipose Subcutaneous
ENSG00000197728.9	5.4	4.1e-08	NA	RPS26	Anorexia	bestP_BLUP_bestZ_BLUP	webtwas	webtwas_internal	Adipose Subcutaneous
ENSG00000267939.1	4.6	3.1e-06	NA	CTD-2325M2.1	Anorexia	bestP_ENET_bestZ_ENET	webtwas	webtwas_internal	Adipose Subcutaneous
ENSG00000197728.9	5.4	6.2e-08	NA	RPS26	Anorexia	bestP_ENET_bestZ_ENET	webtwas	webtwas_internal	Adipose Visceral Omentum
ENSG00000197728.9	5.4	5.1e-08	NA	RPS26	Anorexia	bestP_ENET_bestZ_ENET	webtwas	webtwas_internal	Adrenal Gland
ENSG00000197728.9	5.5	3.6e-08	NA	RPS26	Anorexia	bestP_bestT_bestZ_bestT	webtwas	webtwas_internal	Artery Aorta
ENSG00000197728.9	5.5	3.6e-08	NA	RPS26	Anorexia	bestP_LASSO_bestZ_bestT	webtwas	webtwas_internal	Artery Aorta
