ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000117114	LPHN2	1	81771845	82458120	1	protein_coding	101927458	LPHN2	0.999999944952148	0.222631863	2	13.25	0	NA	NA	NA	NA	No	NA	NA	rs543223897	1
ENSG00000116396	KCNC4	1	110753965	110825722	1	protein_coding	3749	KCNC4	0.00053422527064709	-0.643365983	0	0	2	0.0253093	NA	GTEx/v8/Brain_Hypothalamus	+	No	NA	5.42331e-06	rs9660523	2
ENSG00000064886	CHI3L2	1	111743393	111786062	1	protein_coding	1117	CHI3L2	6.54220595861069e-07	0.958708297	0	0	1	0.0421906	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	5.42331e-06	rs9660523	2
ENSG00000155761	SPAG17	1	118496484	118727846	-1	protein_coding	200162	SPAG17	9.34771220873125e-16	-0.264048338	1	0.181	0	NA	NA	NA	NA	No	NA	NA	rs587723637	3
ENSG00000092607	TBX15	1	119425669	119532179	-1	protein_coding	6913	TBX15	0.877333976211489	-0.847694865	1	19.2	0	NA	NA	NA	NA	No	NA	NA	rs587723637	3
ENSG00000116874	WARS2	1	119573839	119683294	-1	protein_coding	10352	WARS2	0.601342004604768	1.247730381	1	6.239	0	NA	NA	NA	NA	No	NA	8.07189e-07	rs587723637	3
ENSG00000092621	PHGDH	1	120202421	120286838	1	protein_coding	26227	PHGDH	0.000436998677210205	-0.059014319	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs587723637	3
ENSG00000186854	TRABD2A	2	85048774	85134132	-1	protein_coding	129293	TRABD2A	7.93859484463642e-10	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	0.00127532	rs62162746	4
ENSG00000034510	TMSB10	2	85132749	85133795	1	protein_coding	9168	TMSB10	0.124315434010793	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	0.00127532	rs62162746	4
ENSG00000152291	TGOLN2	2	85545147	85555548	-1	protein_coding	10618	TGOLN2	0.000179690886067026	0.987165954	4	3.327	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000042445	RETSAT	2	85569211	85581743	-1	protein_coding	54884	RETSAT	2.04966693109555e-10	1.164669709	12	3.761	19	5.55624e-05	NA	GTEx/v8/Brain_Hypothalamus	+	No	NA	3.65156e-06	rs62162746	4
ENSG00000115459	ELMOD3	2	85581517	85618875	1	protein_coding	84173	ELMOD3	4.56408780285543e-11	-0.039152959	11	8.74	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	3.65156e-06	rs62162746	4
ENSG00000042493	CAPG	2	85621871	85645555	-1	protein_coding	822	CAPG	5.32548826021192e-09	-0.25125754	8	10.16	19	7.76496e-05	NA	GTEx/v8/Brain_Hypothalamus	-	Yes	Promoter_anchored_loops:Adult_Cortex	3.65156e-06	rs62162746	4
ENSG00000152292	SH2D6	2	85645844	85664152	1	protein_coding	101928082	SH2D6	0.00369649800986005	-0.172465518	3	10.16	14	0.00797558	NA	GTEx/v8/Brain_Hypothalamus	-	Yes	Promoter_anchored_loops:Adult_Cortex	5.35852e-06	rs62162746	4
ENSG00000168906	MAT2A	2	85766288	85772403	1	protein_coding	4144	MAT2A	0.733230032010008	-1.056808714	0	0	4	0.0401278	NA	GTEx/v8/Brain_Hypothalamus	-	Yes	Promoter_anchored_loops:Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000115486	GGCX	2	85771846	85788670	-1	protein_coding	2677	GGCX	1.19797696730827e-08	-0.045096532	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	3.65156e-06	rs62162746	4
ENSG00000118640	VAMP8	2	85788685	85809154	1	protein_coding	8673	VAMP8	0.270489594281997	-0.056335469	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	3.65156e-06	rs62162746	4
ENSG00000168899	VAMP5	2	85811531	85820535	1	protein_coding	10791	VAMP5	0.0516197457018348	0.554615104	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000168894	RNF181	2	85822848	85824736	1	protein_coding	51255	RNF181	3.13991934782278e-09	-0.10549856	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000168890	TMEM150A	2	85825671	85830319	-1	protein_coding	129303	TMEM150A	0.145714083697218	-0.552878007	0	0	8	0.00172057	NA	GTEx/v8/Brain_Hypothalamus	+	Yes	Promoter_anchored_loops:Adult_Cortex	3.65156e-06	rs62162746	4
ENSG00000168883	USP39	2	85829979	85876403	1	protein_coding	10713	USP39	0.0316077960336367	-0.577551893	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000168887	C2orf68	2	85833777	85839189	-1	protein_coding	388969	C2orf68	0.0124864992399887	-1.341556673	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000115525	ST3GAL5	2	86066267	86116137	-1	protein_coding	8869	ST3GAL5	0.0278549097052091	-0.500757054	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.07277e-05	rs62162746	4
ENSG00000115641	FHL2	2	105974169	106054970	-1	protein_coding	2274	FHL2	0.00288060194827599	NA	5	2.604	0	NA	NA	NA	NA	No	NA	2.68871e-07	rs7589419	5
ENSG00000162989	KCNJ3	2	155554811	155714863	1	protein_coding	3760	KCNJ3	0.989708242851416	0.283382572	1	0.149	0	NA	NA	NA	NA	No	NA	2.66341e-06	rs77354395	6
ENSG00000153250	RBMS1	2	161128662	161350305	-1	protein_coding	5937	RBMS1	0.996886207084215	-1.348649157	3	6.994	0	NA	NA	NA	NA	No	NA	0.000189385	rs112737624;rs112466667	7
ENSG00000213672	NCKIPSD	3	48701364	48723797	-1	protein_coding	51517	NCKIPSD	0.00713136165785669	-0.551018211	0	0	46	1.70601e-05	2.18768e-11	GTEx/v8/Brain_Hypothalamus	+	No	NA	2.0227e-06	rs62262671	8
ENSG00000178537	SLC25A20	3	48894369	48936426	-1	protein_coding	788	SLC25A20	2.04566835698354e-07	-0.773546303	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	6.92542e-05	rs62262671	8
ENSG00000178467	P4HTM	3	49027319	49044587	1	protein_coding	54681	P4HTM	0.0232749358306657	NA	0	0	67	0.0109561	NA	GTEx/v8/Brain_Hypothalamus	+	Yes	Promoter_anchored_loops	2.0227e-06	rs62262671	8
ENSG00000178252	WDR6	3	49044495	49053386	1	protein_coding	11180	WDR6	9.19647551585082e-07	-0.058949543	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.99522e-05	rs62262671	8
ENSG00000178149	DALRD3	3	49052921	49059726	-1	protein_coding	55152	DALRD3	1.84813920683629e-05	0.072306759	0	0	3	0.0227925	NA	GTEx/v8/Brain_Hypothalamus	-	Yes	Promoter_anchored_loops	2.0227e-06	rs62262671	8
ENSG00000178057	NDUFAF3	3	49057892	49060928	1	protein_coding	25915	NDUFAF3	4.85972513641338e-05	-2.090068809	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	6.92542e-05	rs62262671	8
ENSG00000178035	IMPDH2	3	49061758	49066841	-1	protein_coding	3615	IMPDH2	0.00135316628366044	-0.509342888	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	6.99846e-05	rs62262671	8
ENSG00000198218	QRICH1	3	49067140	49131796	-1	protein_coding	54870	QRICH1	0.996069748046578	-0.27929443	0	0	87	0.00393919	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	2.0227e-06	rs62262671	8
ENSG00000172046	USP19	3	49145479	49158371	-1	protein_coding	10869	USP19	0.999991981492882	-0.429632772	0	0	34	0.0141946	NA	GTEx/v8/Brain_Hypothalamus	-	Yes	Promoter_anchored_loops	2.0227e-06	rs62262671	8
ENSG00000172037	LAMB2	3	49158547	49170551	-1	protein_coding	3913	LAMB2	7.45006902753361e-11	-0.451081722	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	6.92542e-05	rs62262671	8
