geneid	gene_symbol	uniprotid	dx	query
775	CACNA1C	Q13936	MDD	DisOntol_12294_1596
2260	FGFR1	P11362	MDD	DisOntol_12294_1596
6647	SOD1	P00441	MDD	DisOntol_12294_1596
1392	CRH	P06850	MDD	DisOntol_12294_1596
1394	CRHR1	P34998	MDD	DisOntol_12294_1596
2908	NR3C1	P04150	MDD	DisOntol_12294_1596
3553	IL1B	P01584	MDD	DisOntol_12294_1596
3569	IL6	P05231	MDD	DisOntol_12294_1596
4852	NPY	P01303	MDD	DisOntol_12294_1596
4915	NTRK2	Q16620	MDD	DisOntol_12294_1596
6281	S100A10	P60903	MDD	DisOntol_12294_1596
6285	S100B	P04271	MDD	DisOntol_12294_1596
6530	SLC6A2	P23975	MDD	DisOntol_12294_1596
1392	CRH	P06850	MDD	DisOntol_12294_1596
27185	DISC1	Q9NRI5	MDD	DisOntol_12294_1596
2908	NR3C1	P04150	MDD	DisOntol_12294_1596
3569	IL6	P05231	MDD	DisOntol_12294_1596
3776	KCNK2	O95069	MDD	DisOntol_12294_1596
4852	NPY	P01303	MDD	DisOntol_12294_1596
5743	PTGS2	P35354	MDD	DisOntol_12294_1596
6281	S100A10	P60903	MDD	DisOntol_12294_1596
1394	CRHR1	P34998	MDD	DisOntol_12294_1596
2289	FKBP5	Q13451	MDD	DisOntol_12294_1596
5443	POMC	P01189	MDD	DisOntol_12294_1596
2932	GSK3B	P49841	MDD	DisOntol_12294_1596
4803	NGF	P01138	MDD	DisOntol_12294_1596
2932	GSK3B	P49841	MDD	DisOntol_12294_1596
1269	CNR2	P34972	MDD	DisOntol_12294_1596
1129	CHRM2	P08172	MDD	DisOntol_12294_1596
150	ADRA2A	P08913	MDD	DisOntol_12294_1596
1812	DRD1	P21728	MDD	DisOntol_12294_1596
3363	HTR7	P34969	MDD	DisOntol_12294_1596
5649	RELN	P78509	MDD	DisOntol_12294_1596
2571	GAD1	Q99259	MDD	DisOntol_12294_1596
1393	CRHBP	P24387	MDD	DisOntol_12294_1596
1395	CRHR2	Q13324	MDD	DisOntol_12294_1596
2739	GLO1	Q04760	MDD	DisOntol_12294_1596
3570	IL6R	P08887	MDD	DisOntol_12294_1596
84152	PPP1R1B	Q9UD71	MDD	DisOntol_12294_1596
166752	FREM3	P0C091	MDD	DisOntol_12294_1596
847	CAT	P04040	MDD	DisOntol_12294_1596
10014	HDAC5	Q9UQL6	MDD	DisOntol_12294_1596
5144	PDE4D	Q08499	MDD	DisOntol_12294_1596
7054	TH	P07101	MDD	DisOntol_12294_1596
6616	SNAP25	P60880	MDD	DisOntol_12294_1596
1565	CYP2D6	P10635	MDD	DisOntol_12294_1596
1906	EDN1	P05305	MDD	DisOntol_12294_1596
27445	PCLO	Q9Y6V0	MDD	DisOntol_12294_1596
