Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to11,Feature log2 fold change topic 4to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,8,-1.7567,8,-1.7353,20,-0.7317,50,1.12248,92,2.22418
ENSG00000187634,SAMD11,7,-1.9968,42,0.79078,17,-1.2187,50,1.07966,92,2.17396
ENSG00000188976,NOC2L,31,-0.7345,70,0.58494,44,-0.3067,50,0.06413,92,1.03953
ENSG00000188290,HES4,18,-2.1997,128,0.88605,81,0.40514,50,-0.5804,92,0.35520
ENSG00000187608,ISG15,19,-2.6412,123,0.27126,51,-1.8524,682,3.61348,92,-0.1844
ENSG00000078808,SDF4,83,-0.0842,76,-0.2182,94,0.29103,50,-0.8495,92,0.07437
ENSG00000176022,B3GALT6,18,-1.4393,49,0.10035,46,0.01203,50,0.14146,92,1.12303
ENSG00000160087,UBE2J2,32,-0.7251,42,-0.2985,51,0.04322,50,-0.0165,92,0.95274
ENSG00000131584,ACAP3,65,-0.6497,52,-0.9228,38,-2.2696,664,3.76462,92,-0.0645
ENSG00000127054,INTS11,55,0.13388,55,0.11143,44,-0.4614,50,-0.0266,92,0.94192
ENSG00000224051,CPTP,21,-0.4798,20,-0.5144,20,-0.9843,50,0.90981,92,1.97712
ENSG00000107404,DVL1,55,0.07643,35,-0.6214,50,-0.2103,50,-0.0727,92,0.89257
ENSG00000175756,AURKAIP1,104,-0.3769,173,0.45362,146,0.47904,50,-1.4371,92,-0.5322
ENSG00000221978,CCNL2,55,0.05403,64,0.28052,47,-0.4143,50,-0.1005,92,0.86284
ENSG00000224870,MRPL20-AS1,18,-0.2386,8,-1.3960,11,-1.7131,50,1.39512,92,2.55064
ENSG00000242485,MRPL20,146,-0.1255,132,-0.2668,185,0.70338,50,-1.7191,92,-0.8208
ENSG00000235098,ANKRD65,44,0.61532,3,-3.3337,21,-1.1121,50,0.75643,92,1.80232
ENSG00000179403,VWA1,228,2.46425,54,-0.3897,32,-2.0236,50,-0.5021,92,0.43745
ENSG00000197785,ATAD3A,11,-1.0394,23,0.07639,12,-1.6078,50,1.34569,92,2.49052
ENSG00000205090,TMEM240,5,-2.6357,10,-1.6499,28,-0.2256,50,0.84570,92,1.90374
ENSG00000160075,SSU72,92,-0.8220,132,-0.2101,189,1.04250,50,-1.6647,92,-0.7653
ENSG00000228594,FNDC10,7,-3.1337,53,-0.0105,61,0.54046,50,-0.0995,92,0.86395
ENSG00000272106,AL691432.2,38,-0.0324,7,-2.4795,35,-0.3686,50,0.40616,92,1.41176
ENSG00000197530,MIB2,23,-0.7099,32,-0.1521,30,-0.5335,50,0.53943,92,1.55910
ENSG00000189339,SLC35E2B,19,-0.7793,27,-0.1827,23,-0.8159,50,0.80810,92,1.86092
ENSG00000215790,SLC35E2A,18,-0.7990,18,-0.7576,23,-0.7379,50,0.84947,92,1.90805
ENSG00000008130,NADK,23,-0.7697,19,-0.9331,33,-0.3145,50,0.50726,92,1.52340
ENSG00000078369,GNB1,255,-0.3091,346,0.18858,374,0.90336,50,-2.7003,92,-1.8172
ENSG00000067606,PRKCZ,79,-1.5639,109,-1.0070,148,-1.0852,50,-2.1534,1250,3.31849
ENSG00000162585,FAAP20,46,-0.4722,73,0.28830,61,-0.0162,50,-0.3004,92,0.65023
ENSG00000157933,SKI,46,0.48564,3,-3.4278,27,-0.8082,50,0.57489,92,1.59854
ENSG00000157916,RER1,93,0.18813,147,0.90750,76,-0.3184,50,-0.7745,92,0.15238
ENSG00000157911,PEX10,48,0.46892,15,-1.3244,28,-0.8610,50,0.50318,92,1.51887
ENSG00000149527,PLCH2,35,0.82946,7,-1.7598,8,-2.3031,50,1.32163,92,2.46141
ENSG00000157881,PANK4,11,-1.1769,10,-1.2897,17,-1.0281,50,1.19640,92,2.31152
ENSG00000197921,HES5,2,-5.4692,52,-0.6424,103,1.37995,50,-0.6886,92,0.24203
ENSG00000272449,AL139246.5,1,-5.0465,5,-2.5624,27,-0.1267,50,0.92637,92,1.99615
ENSG00000157870,PRXL2B,17,-2.8982,96,-0.2177,67,-1.4206,677,3.41753,92,-0.2801
ENSG00000158109,TPRG1L,43,-1.9756,133,-0.1755,197,1.44796,50,-1.6416,92,-0.7416
ENSG00000116213,WRAP73,17,-0.6012,43,0.89509,13,-1.7513,50,1.13357,92,2.23723
ENSG00000130764,LRRC47,53,-1.4013,101,-0.3550,91,-1.0179,627,2.86332,92,-0.5023
ENSG00000116198,CEP104,41,0.46990,27,-0.1863,19,-1.3817,50,0.76384,92,1.81071
ENSG00000198912,C1orf174,21,-0.3779,0,-6.6500,20,-0.8351,50,1.00025,92,2.08147
ENSG00000196581,AJAP1,23,-0.6544,0,-7.0347,33,-0.1750,50,0.56229,92,1.58451
ENSG00000069424,KCNAB2,10,-3.0169,74,0.00374,91,0.93075,50,-0.5936,92,0.34145
ENSG00000116254,CHD5,4,-4.4081,61,-0.3503,98,1.21242,50,-0.6487,92,0.28375
ENSG00000116251,RPL22,744,1.12637,495,0.32457,389,-0.1286,50,-3.0944,92,-2.2149
ENSG00000116237,ICMT,39,-0.2223,38,-0.2501,40,-0.3628,50,0.19024,92,1.17588
ENSG00000097021,ACOT7,68,-2.0483,289,0.23460,333,1.55325,50,-2.3911,92,-1.5042
ENSG00000162408,NOL9,20,-0.9692,4,-3.1347,35,-0.0693,50,0.52082,92,1.53843
ENSG00000162413,KLHL21,54,0.43286,12,-1.8869,36,-0.5451,50,0.26958,92,1.26218
ENSG00000116273,PHF13,17,-0.6354,0,-6.5888,20,-0.8350,50,1.07358,92,2.16685
ENSG00000041988,THAP3,16,-0.7471,4,-2.5254,20,-0.8320,50,1.04575,92,2.13436
ENSG00000007923,DNAJC11,21,-0.8267,22,-0.7415,32,-0.3613,50,0.53786,92,1.55735
ENSG00000171735,CAMTA1,70,-1.2442,77,-1.0281,202,1.48322,50,-1.6682,92,-0.7689
ENSG00000049245,VAMP3,248,2.47789,8,-3.1827,42,-1.6155,50,-0.6264,92,0.30707
ENSG00000049246,PER3,33,-0.0274,0,-6.9522,28,-0.5613,50,0.65525,92,1.68836
ENSG00000116288,PARK7,269,-0.2083,386,0.37140,362,0.76181,50,-2.6890,92,-1.8057
ENSG00000116285,ERRFI1,29,0.11732,0,-6.6672,19,-1.0541,50,0.98196,92,2.06029
ENSG00000162426,SLC45A1,8,-2.2130,66,1.00977,29,-0.6190,50,0.55618,92,1.57772
ENSG00000142599,RERE,58,-0.5995,68,-0.2971,94,0.52711,50,-0.7671,92,0.16009
ENSG00000074800,ENO1,372,-0.3898,606,0.40190,573,0.90375,87,-2.5252,92,-2.4421
ENSG00000171612,SLC25A33,48,-0.1618,21,-1.3666,54,0.05715,50,-0.0970,92,0.86654
ENSG00000188807,TMEM201,20,-0.4335,21,-0.2965,16,-1.2892,50,1.07617,92,2.16988
ENSG00000171603,CLSTN1,195,-0.7121,369,0.32257,376,1.05849,50,-2.6685,92,-1.7850
ENSG00000178585,CTNNBIP1,45,-0.0343,42,-0.1055,40,-0.4589,50,0.15233,92,1.13479
ENSG00000162441,LZIC,89,1.31082,7,-2.7180,30,-1.0899,50,0.20479,92,1.19168
ENSG00000162444,RBP7,96,2.64699,0,-6.6838,3,-4.3648,50,0.96261,92,2.03792
ENSG00000130939,UBE4B,43,-0.2385,44,-0.1844,47,-0.2108,50,0.00419,92,0.97505
ENSG00000054523,KIF1B,301,0.42644,161,-0.5847,270,0.57525,50,-2.3155,92,-1.4277
ENSG00000142657,PGD,46,-0.6494,80,0.23130,73,0.20507,50,-0.4865,92,0.45386
ENSG00000160049,DFFA,53,0.32674,43,-0.0318,35,-0.7408,50,0.21931,92,1.20746
ENSG00000142655,PEX14,16,-1.2724,49,0.51736,30,-0.5723,50,0.53910,92,1.55873
ENSG00000120948,TARDBP,92,0.41053,62,-0.2402,69,-0.1603,50,-0.5643,92,0.37214
ENSG00000116649,SRM,43,-1.1631,96,0.13229,102,0.66112,50,-0.8540,92,0.06967
ENSG00000171824,EXOSC10,26,-0.4119,17,-1.0500,28,-0.5816,50,0.63851,92,1.66960
ENSG00000198793,MTOR,24,-1.0112,7,-2.7181,49,0.30353,50,0.16203,92,1.14530
ENSG00000120942,UBIAD1,27,0.36723,0,-6.3398,11,-1.8449,50,1.37082,92,2.52103
