gene_id	chr
ENSG00000000003	chrX
ENSG00000000005	chrX
ENSG00000000419	chr20
ENSG00000000457	chr1
ENSG00000000460	chr1
ENSG00000000938	chr1
ENSG00000000971	chr1
ENSG00000001036	chr6
ENSG00000001084	chr6
ENSG00000001167	chr6
ENSG00000001460	chr1
ENSG00000001461	chr1
ENSG00000001497	chrX
ENSG00000001561	chr6
ENSG00000001617	chr3
ENSG00000001626	chr7
ENSG00000001629	chr7
ENSG00000001630	chr7
ENSG00000001631	chr7
ENSG00000002016	chr12
ENSG00000002330	chr11
ENSG00000002549	chr4
ENSG00000002586	chrX
ENSG00000002587	chr4
ENSG00000002726	chr7
ENSG00000002745	chr7
ENSG00000002746	chr7
ENSG00000002822	chr7
ENSG00000002834	chr17
ENSG00000002919	chr17
ENSG00000002933	chr7
ENSG00000003056	chr12
ENSG00000003096	chrX
ENSG00000003137	chr2
ENSG00000003147	chr7
ENSG00000003249	chr16
ENSG00000003393	chr2
ENSG00000003400	chr2
ENSG00000003402	chr2
ENSG00000003436	chr2
ENSG00000003509	chr2
ENSG00000003756	chr3
ENSG00000003987	chr8
ENSG00000003989	chr8
ENSG00000004059	chr7
ENSG00000004139	chr17
ENSG00000004142	chr17
ENSG00000004399	chr3
ENSG00000004455	chr1
ENSG00000004468	chr4
ENSG00000004478	chr12
ENSG00000004487	chr1
ENSG00000004534	chr3
ENSG00000004660	chr17
ENSG00000004700	chr12
ENSG00000004766	chr7
ENSG00000004776	chr19
ENSG00000004777	chr19
ENSG00000004779	chr16
ENSG00000004799	chr7
ENSG00000004809	chr6
ENSG00000004838	chr3
ENSG00000004846	chr7
ENSG00000004848	chrX
ENSG00000004864	chr7
ENSG00000004866	chr7
ENSG00000004897	chr17
ENSG00000004939	chr17
ENSG00000004948	chr7
ENSG00000004961	chrX
ENSG00000004975	chr17
ENSG00000005001	chr16
ENSG00000005007	chr19
ENSG00000005020	chr7
ENSG00000005022	chrX
ENSG00000005059	chr4
ENSG00000005073	chr7
ENSG00000005075	chr7
ENSG00000005100	chr17
ENSG00000005102	chr17
ENSG00000005108	chr7
ENSG00000005156	chr17
ENSG00000005175	chr12
ENSG00000005187	chr16
ENSG00000005189	chr16
ENSG00000005194	chr16
ENSG00000005206	chr19
ENSG00000005238	chr9
ENSG00000005243	chr17
ENSG00000005249	chr7
ENSG00000005302	chrX
ENSG00000005339	chr16
ENSG00000005379	chr17
ENSG00000005381	chr17
ENSG00000005421	chr7
ENSG00000005436	chr2
ENSG00000005448	chr2
ENSG00000005469	chr7
ENSG00000005471	chr7
ENSG00000005483	chr7
ENSG00000005486	chr7
ENSG00000005513	chr16
ENSG00000005700	chr6
ENSG00000005801	chr11
ENSG00000005810	chr13
ENSG00000005812	chr13
ENSG00000005844	chr16
ENSG00000005882	chr17
