gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	nsigsamps	meanrank
ENSG00000000003	TSPAN6			835					744		2	789.5
ENSG00000000419	DPM1				1597						1	1597
ENSG00000001036	FUCA2				1838		1086				2	1462
ENSG00000001461	NIPAL3			1792							1	1792
ENSG00000001497	LAS1L			2592							1	2592
ENSG00000001617	SEMA3F			1400							1	1400
ENSG00000001629	ANKIB1			1801							1	1801
ENSG00000001631	KRIT1				2323				882		2	1602.5
ENSG00000002016	RAD52			2951							1	2951
ENSG00000002549	LAP3	1000					1772				2	1386
ENSG00000002586	CD99	151		375	579			304	731		5	428
ENSG00000002587	HS3ST1	1578		1017		495	1488				4	1144.5
ENSG00000002834	LASP1		2870						415		2	1642.5
ENSG00000002933	TMEM176A	431		1022				1108		170	4	682.75
ENSG00000003056	M6PR						1741	2273			2	2007
ENSG00000003096	KLHL13				1427				836	520	3	927.666666666667
ENSG00000003137	CYP26B1			956	651		742				3	783
ENSG00000003402	CFLAR		3385								1	3385
ENSG00000003756	RBM5		607	1748	477		884				4	929
ENSG00000003987	MTMR7							927			1	927
ENSG00000003989	SLC7A2			2171							1	2171
ENSG00000004059	ARF5			3101							1	3101
ENSG00000004139	SARM1				2520						1	2520
ENSG00000004142	POLDIP2		1074								1	1074
ENSG00000004455	AK2		2132								1	2132
ENSG00000004468	CD38			2383							1	2383
ENSG00000004478	FKBP4		1665	2857			1075				3	1865.66666666667
ENSG00000004487	KDM1A		3273		1714						2	2493.5
ENSG00000004534	RBM6	1337									1	1337
ENSG00000004660	CAMKK1									269	1	269
ENSG00000004766	VPS50						1863				1	1863
ENSG00000004777	ARHGAP33							1418			1	1418
ENSG00000004779	NDUFAB1	1664	667					1564			3	1298.33333333333
ENSG00000004799	PDK4							1242			1	1242
ENSG00000004838	ZMYND10	82		99	1727						3	636
ENSG00000004848	ARX			122					17		2	69.5
ENSG00000004948	CALCR	1909	188	1723	88		478	131		163	7	668.571428571429
ENSG00000005007	UPF1						1845				1	1845
ENSG00000005022	SLC25A5	1105	2214								2	1659.5
ENSG00000005075	POLR2J							1879			1	1879
ENSG00000005108	THSD7A	1685	3055		2393		1977			683	5	1958.6
ENSG00000005156	LIG3			2303							1	2303
ENSG00000005175	RPAP3		2223						623		2	1423
ENSG00000005206	SPPL2B				2032						1	2032
ENSG00000005238	FAM214B		2574				1219				2	1896.5
ENSG00000005249	PRKAR2B		803	1392	2632						3	1609
ENSG00000005339	CREBBP		1910								1	1910
ENSG00000005379	TSPOAP1			1020							1	1020
ENSG00000005436	GCFC2		2539								1	2539
ENSG00000005448	WDR54	899									1	899
ENSG00000005483	KMT2E				2812						1	2812
ENSG00000005486	RHBDD2	171	656	515	315	250	58	147	106		8	277.25
ENSG00000005513	SOX8		810								1	810
ENSG00000005700	IBTK		2988		1726		1808				3	2174
ENSG00000005801	ZNF195		3140								1	3140
ENSG00000005810	MYCBP2	1295	2777						675		3	1582.33333333333
ENSG00000005882	PDK2			2019							1	2019
ENSG00000005884	ITGA3		1061					2205			2	1633
ENSG00000005893	LAMP2	600		568	807	435		317			5	545.4
ENSG00000006007	GDE1				1700						1	1700
ENSG00000006015	REX1BD		3501								1	3501
ENSG00000006016	CRLF1	11	767	8		44	42	242			6	185.666666666667
ENSG00000006042	TMEM98			2264							1	2264
ENSG00000006062	MAP3K14					634					1	634
ENSG00000006071	ABCC8				2048						1	2048
ENSG00000006116	CACNG3				2550						1	2550
ENSG00000006118	TMEM132A	1548			1337		1038		700		4	1155.75
ENSG00000006128	TAC1	48	28	53	45	85	28	21	222	144	9	74.8888888888889
ENSG00000006194	ZNF263						1894				1	1894
ENSG00000006210	CX3CL1		2727	2566	1244		1129				4	1916.5
ENSG00000006283	CACNA1G		3393		1878						2	2635.5
ENSG00000006327	TNFRSF12A	1161		2083	1547		234	1770			5	1359
ENSG00000006377	DLX6	1711			1435	458					3	1201.33333333333
ENSG00000006468	ETV1		1495	1375				725		654	4	1062.25
ENSG00000006530	AGK	2206									1	2206
ENSG00000006607	FARP2								935		1	935
ENSG00000006652	IFRD1							1995			1	1995
ENSG00000006715	VPS41						942				1	942
ENSG00000006740	ARHGAP44		2058	2810							2	2434
ENSG00000006756	ARSD			2060							1	2060
ENSG00000007168	PAFAH1B1		3580	1372	2327		274				4	1888.25
ENSG00000007174	DNAH9	1038		791							2	914.5
ENSG00000007237	GAS7		3012		795		756	2321	718		5	1520.4
ENSG00000007255	TRAPPC6A				1981						1	1981
ENSG00000007341	ST7L		1579					905			2	1242
ENSG00000007392	LUC7L		2143								1	2143
ENSG00000007402	CACNA2D2							2109			1	2109
ENSG00000007516	BAIAP3	244	260	256	170	152	206	110	148	85	9	181.222222222222
ENSG00000007541	PIGQ							2311			1	2311
ENSG00000007545	CRAMP1						1729				1	1729
ENSG00000008018	PSMB1		951	1607			467	402			4	856.75
ENSG00000008056	SYN1	783		1310					778		3	957
ENSG00000008086	CDKL5		528		2597						2	1562.5
ENSG00000008118	CAMK1G			2756		369					2	1562.5
ENSG00000008130	NADK					336					1	336
ENSG00000008226	DLEC1	252		673							2	462.5
ENSG00000008277	ADAM22		2899	2433							2	2666
ENSG00000008282	SYPL1		917					1586			2	1251.5
ENSG00000008283	CYB561	1878	2331		1602		1065	521	255		6	1275.33333333333
ENSG00000008294	SPAG9			2242	2187						2	2214.5
ENSG00000008300	CELSR3		2177								1	2177
ENSG00000008311	AASS		2772				918	2011			3	1900.33333333333
ENSG00000008324	SS18L2			2503							1	2503
ENSG00000008382	MPND	1400									1	1400
ENSG00000008394	MGST1	1319	885	2628	907	355		398			6	1082
ENSG00000008441	NFIX			997	1508			1388	439		4	1083
ENSG00000008517	IL32		1939		2348						2	2143.5
ENSG00000008710	PKD1		2206	1550	466			2072	665		5	1391.8
