Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to11,Feature log2 fold change topic 9to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,11,-1.1868,5,-2.3811,8,-1.7353,14,-0.9275,32,0.38336,21,-0.2789,16,-0.6992,21,-0.3332,50,1.12248,92,2.22418
ENSG00000187634,SAMD11,10,-1.3832,4,-2.7056,42,0.79078,10,-1.4495,16,-0.7246,36,0.52715,21,-0.2849,14,-1.0607,50,1.07966,92,2.17396
ENSG00000188976,NOC2L,13,-1.9725,49,0.01605,70,0.58494,36,-0.4603,75,0.69728,19,-1.4078,75,0.70655,37,-0.4695,50,0.06413,92,1.03953
ENSG00000188290,HES4,17,-2.1300,18,-2.0753,128,0.88605,47,-0.7146,67,-0.1323,105,0.56971,55,-0.4446,109,0.78767,50,-0.5804,92,0.35520
ENSG00000187608,ISG15,22,-2.2916,15,-2.8301,123,0.27126,38,-1.6102,42,-1.3529,25,-2.1136,58,-0.8797,70,-0.6875,682,3.61348,92,-0.1844
ENSG00000078808,SDF4,65,-0.4606,102,0.23472,76,-0.2182,78,-0.1859,81,-0.1232,104,0.26852,112,0.38742,100,0.25407,50,-0.8495,92,0.07437
ENSG00000176022,B3GALT6,18,-1.3736,19,-1.3492,49,0.10035,35,-0.4276,64,0.53064,28,-0.7564,43,-0.0992,54,0.31404,50,0.14146,92,1.12303
ENSG00000160087,UBE2J2,27,-0.9515,38,-0.4424,42,-0.2985,39,-0.4381,48,-0.0924,83,0.78709,44,-0.2326,53,0.07154,50,-0.0165,92,0.95274
ENSG00000131584,ACAP3,49,-1.0038,80,-0.2865,52,-0.9228,25,-2.0926,50,-0.9968,32,-1.6594,35,-1.5264,47,-1.2161,664,3.76462,92,-0.0645
ENSG00000127054,INTS11,34,-0.6041,76,0.63160,55,0.11143,32,-0.7697,49,-0.0771,28,-0.9326,48,-0.1094,56,0.18532,50,-0.0266,92,0.94192
ENSG00000224051,CPTP,11,-1.3850,31,0.14586,20,-0.5144,18,-0.6917,26,-0.1380,31,0.16548,23,-0.3008,15,-1.0477,50,0.90981,92,1.97712
ENSG00000107404,DVL1,47,-0.1612,63,0.27362,35,-0.6214,39,-0.4909,46,-0.2176,48,-0.1543,52,-0.0257,58,0.17950,50,-0.0727,92,0.89257
ENSG00000175756,AURKAIP1,97,-0.4580,111,-0.2469,173,0.45362,132,0.02865,156,0.28680,225,0.88338,152,0.24507,123,-0.1011,50,-1.4371,92,-0.5322
ENSG00000221978,CCNL2,43,-0.3232,67,0.35537,64,0.28052,33,-0.7759,46,-0.2353,27,-1.0406,54,0.00203,62,0.28380,50,-0.1005,92,0.86284
ENSG00000224870,MRPL20-AS1,13,-0.7261,24,0.16706,8,-1.3960,7,-1.7335,16,-0.4577,15,-0.5229,11,-0.9274,11,-1.1089,50,1.39512,92,2.55064
ENSG00000242485,MRPL20,129,-0.3084,163,0.05760,132,-0.2668,142,-0.1701,218,0.51946,216,0.50293,229,0.59479,177,0.22351,50,-1.7191,92,-0.8208
ENSG00000235098,ANKRD65,34,0.15970,54,0.87647,3,-3.3337,14,-1.2314,11,-1.5338,19,-0.7052,7,-2.0678,35,0.20833,50,0.75643,92,1.80232
ENSG00000179403,VWA1,135,1.06535,321,2.70669,54,-0.3897,27,-1.4929,10,-2.8250,51,-0.4629,13,-2.5074,42,-0.8984,50,-0.5021,92,0.43745
ENSG00000197785,ATAD3A,12,-0.9289,11,-1.0252,23,0.07639,6,-1.9651,14,-0.6470,10,-1.0909,20,-0.1469,13,-0.8631,50,1.34569,92,2.49052
ENSG00000205090,TMEM240,2,-3.9046,8,-1.8308,10,-1.6499,26,-0.2213,26,-0.1741,24,-0.3265,50,0.82533,23,-0.4207,50,0.84570,92,1.90374
ENSG00000160075,SSU72,79,-0.9855,104,-0.5781,132,-0.2101,132,-0.2353,198,0.42506,194,0.39204,211,0.52129,215,0.69822,50,-1.6647,92,-0.7653
ENSG00000228594,FNDC10,2,-4.4287,11,-2.3178,53,-0.0105,36,-0.6588,118,1.28822,57,0.11250,73,0.48429,56,0.07408,50,-0.0995,92,0.86395
ENSG00000272106,AL691432.2,25,-0.6756,51,0.43664,7,-2.4795,30,-0.3931,31,-0.3531,47,0.31736,26,-0.6124,38,-0.0490,50,0.40616,92,1.41176
ENSG00000197530,MIB2,24,-0.5839,22,-0.7451,32,-0.1521,16,-1.2949,38,0.11889,15,-1.2702,46,0.38979,37,0.08368,50,0.53943,92,1.55910
ENSG00000189339,SLC35E2B,12,-1.3832,25,-0.2656,27,-0.1827,16,-0.9907,7,-2.0447,53,0.88518,20,-0.6095,24,-0.3801,50,0.80810,92,1.86092
ENSG00000215790,SLC35E2A,13,-1.1659,22,-0.4156,18,-0.7576,15,-1.0720,15,-0.9691,18,-0.7308,14,-1.1064,36,0.40377,50,0.84947,92,1.90805
ENSG00000008130,NADK,21,-0.8068,24,-0.6361,19,-0.9331,21,-0.9095,36,-0.0332,35,-0.0454,44,0.28558,37,0.01143,50,0.50726,92,1.52340
ENSG00000078369,GNB1,202,-0.6463,309,0.00998,346,0.18858,311,0.02271,524,0.85680,471,0.67963,320,0.06572,352,0.26169,50,-2.7003,92,-1.8172
ENSG00000067606,PRKCZ,66,-1.7563,93,-1.2495,109,-1.0070,114,-0.9986,184,-0.2181,153,-0.4988,155,-0.4778,153,-0.5761,50,-2.1534,1250,3.31849
ENSG00000162585,FAAP20,39,-0.6704,52,-0.2351,73,0.28830,42,-0.6214,80,0.43457,97,0.74402,68,0.17504,52,-0.2871,50,-0.3004,92,0.65023
ENSG00000157933,SKI,54,0.70726,38,0.12224,3,-3.4278,26,-0.4555,14,-1.3828,31,-0.1626,31,-0.1896,29,-0.3359,50,0.57489,92,1.59854
ENSG00000157916,RER1,78,-0.0942,108,0.40194,147,0.90750,52,-0.7793,100,0.28918,60,-0.4961,86,0.04992,86,0.06283,50,-0.7745,92,0.15238
ENSG00000157911,PEX10,46,0.36648,49,0.47872,15,-1.3244,24,-0.6504,35,-0.0378,35,-0.0478,24,-0.6105,26,-0.6224,50,0.50318,92,1.51887
ENSG00000149527,PLCH2,21,-0.0521,49,1.29534,7,-1.7598,2,-3.2829,5,-2.1174,5,-2.2569,5,-2.0119,16,-0.5479,50,1.32163,92,2.46141
ENSG00000157881,PANK4,4,-2.6558,19,-0.3497,10,-1.2897,12,-1.1085,19,-0.3518,8,-1.6305,9,-1.3600,25,0.09700,50,1.19640,92,2.31152
ENSG00000197921,HES5,0,-7.6398,3,-4.4997,52,-0.6424,55,-0.6021,32,-1.3671,68,-0.2227,82,0.06380,179,1.86010,50,-0.6886,92,0.24203
ENSG00000272449,AL139246.5,1,-3.9496,0,-9.6057,5,-2.5624,9,-1.6977,11,-1.3482,11,-1.3973,13,-1.1706,54,1.40814,50,0.92637,92,1.99615
ENSG00000157870,PRXL2B,25,-2.2226,9,-3.7240,96,-0.2177,53,-1.1799,123,0.16952,33,-1.8053,53,-1.1145,73,-0.7234,677,3.41753,92,-0.2801
ENSG00000158109,TPRG1L,28,-2.5110,57,-1.4411,133,-0.1755,115,-0.4311,265,0.92225,151,0.01439,251,0.83238,228,0.85372,50,-1.6416,92,-0.7416
