Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Schizophrenia,Schizophrenia,Liver,SNX19,ENSG00000120451.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.33E+00,1.00E-07,TWASP000054
Schizophrenia,Schizophrenia,Liver,SNX19,ENSG00000120451.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.33E+00,1.00E-07,TWASP000056
Schizophrenia,Schizophrenia,Nerve Tibial,CHRM4,ENSG00000180720.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000054
Schizophrenia,Schizophrenia,Aortic Artery,MUSTN1,ENSG00000272573.5,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000054
Schizophrenia,Schizophrenia,Nerve Tibial,CHRM4,ENSG00000180720.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000056
Schizophrenia,Schizophrenia,Aortic Artery,MUSTN1,ENSG00000272573.5,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000056
Schizophrenia,Schizophrenia,Brain Hippocampus,GOLGA2P10,ENSG00000255769.7,transcribed_unprocessed_pseudogene,FUSION,6.11E+00,1.00E-09,TWASP000022
Schizophrenia,Schizophrenia,Whole Blood,ITIH4-AS1,ENSG00000239799.1,antisense,FUSION,6.11E+00,1.00E-09,TWASP000003
Schizophrenia,Schizophrenia,Brain Dorsolateral Prefrontal Cortex,NDUFA2,ENSG00000131495.8,protein-coding,FUSION,-6.47E+00,1.00E-10,TWASP000178
Schizophrenia,Schizophrenia,Brain,GNL3,ENSG00000163938.16,protein-coding,FUSION,6.81E+00,1.00E-11,TWASP000050
Schizophrenia,Schizophrenia,Adipose,NOTCH4,ENSG00000204301.6,protein-coding,Summary-PrediXcan(S-PrediXcan),8.30E+00,1.00E-16,TWASP000054
Schizophrenia,Schizophrenia,Adipose,NOTCH4,ENSG00000204301.6,protein-coding,Summary-PrediXcan(S-PrediXcan),8.30E+00,1.00E-16,TWASP000056
Schizophrenia,Schizophrenia,Whole Blood,GATAD2A,ENSG00000167491.17,protein-coding,FUSION,4.42E+00,1.01E-05,TWASP000123
Schizophrenia,Schizophrenia,Brain,ANKS3,ENSG00000168096.14,protein-coding,FUSION,-4.41E+00,1.01E-05,TWASP000050
Schizophrenia,Schizophrenia,Brain Hippocampus,PPIP5K1,ENSG00000168781.21,protein-coding,FUSION,-4.41E+00,1.01E-05,TWASP000022
Schizophrenia,Schizophrenia,Brain Cortex,GOLGA6L5P,ENSG00000230373.8,transcribed_unprocessed_pseudogene,FUSION,4.41E+00,1.01E-05,TWASP000050
Schizophrenia,Schizophrenia,Dorsal Lateral Prefrontal Cortex,RN7SL199P,ENSG00000265315.1,misc_RNA,FUSION,-4.41E+00,1.01E-05,TWASP000022
Schizophrenia,Schizophrenia,Brain Dorsolateral Prefrontal Cortex,ACADVL,ENSG00000072778.19,protein-coding,FUSION,-4.42E+00,1.01E-05,TWASP000178
Schizophrenia,Schizophrenia,Brain Dorsolateral Prefrontal Cortex,XPNPEP3,ENSG00000196236.12,protein-coding,FUSION,4.89E+00,1.01E-06,TWASP000178
Schizophrenia,Schizophrenia,Brain,SNX19,ENSG00000120451.10,protein-coding,FUSION,-4.89E+00,1.01E-06,TWASP000123
Schizophrenia,Schizophrenia,Dorsal Lateral Prefrontal Cortex,STAT6,ENSG00000166888.11,protein-coding,FUSION,4.89E+00,1.01E-06,TWASP000022
Schizophrenia,Schizophrenia,Esophagus Mucosa,SF3B1,ENSG00000115524.15,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000056
Schizophrenia,Schizophrenia,Aortic Artery,HLA-DMA,ENSG00000204257.14,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.32E+00,1.01E-07,TWASP000056
Schizophrenia,Schizophrenia,Whole Blood,CYP2D6,ENSG00000100197.20,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.33E+00,1.01E-07,TWASP000054
Schizophrenia,Schizophrenia,Brain Hippocampus,ITIH4,ENSG00000055955.15,protein-coding,FUSION,-5.33E+00,1.01E-07,TWASP000022
Schizophrenia,Schizophrenia,Aortic Artery,HLA-DMA,ENSG00000204257.14,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.32E+00,1.01E-07,TWASP000054
Schizophrenia,Schizophrenia,Esophagus Mucosa,SF3B1,ENSG00000115524.15,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.01E-07,TWASP000054
Schizophrenia,Schizophrenia,Brain,ARL3,ENSG00000138175.8,protein-coding,FUSION,-5.33E+00,1.01E-07,TWASP000123
Schizophrenia,Schizophrenia,Brain Hippocampus,YJEFN3,ENSG00000250067.11,protein-coding,FUSION,-5.73E+00,1.01E-08,TWASP000022
Schizophrenia,Schizophrenia,Artery Tibia,LINC01556,ENSG00000204709.4,lincRNA,Summary-PrediXcan(S-PrediXcan),-6.11E+00,1.01E-09,TWASP000056
Schizophrenia,Schizophrenia,Artery Tibia,LINC01556,ENSG00000204709.4,lincRNA,Summary-PrediXcan(S-PrediXcan),-6.11E+00,1.01E-09,TWASP000054
Schizophrenia,Schizophrenia,Cells Transformed Fibroblast,C4A,ENSG00000244731.7,protein-coding,Summary-PrediXcan(S-PrediXcan),6.81E+00,1.01E-11,TWASP000056
