Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Bipolar Disorder,Bipolar Disorder,Brain,DDHD2,ENSG00000085788.13,protein-coding,FUSION,-4.42E+00,1.01E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,BRF2,ENSG00000104221.12,protein-coding,Element-based TWAS(ETWAS),5.33E+00,1.01E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,HAPLN4,ENSG00000187664.8,protein-coding,FUSION,5.73E+00,1.02E-08,TWASP000004
Bipolar Disorder,Bipolar Disorder,Amygdala,TEX264,ENSG00000164081.12,protein-coding,Element-based TWAS(ETWAS),4.88E+00,1.06E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,PELI3,ENSG00000174516.14,protein-coding,FUSION,6.46E+00,1.06E-10,TWASP000004
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,ALAS1,ENSG00000023330.14,protein-coding,Element-based TWAS(ETWAS),4.86E+00,1.17E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Muscle Skeletal,DDN,ENSG00000181418.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.30E+00,1.18E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Muscle Skeletal,DDN,ENSG00000181418.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.30E+00,1.18E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain,CHMP1A,ENSG00000131165.14,protein-coding,FUSION,4.38E+00,1.19E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,WDR82,ENSG00000164091.11,protein-coding,Element-based TWAS(ETWAS),5.70E+00,1.20E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,POC1A,ENSG00000164087.7,protein-coding,Element-based TWAS(ETWAS),5.70E+00,1.22E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Nerve Tibial,NEK4,ENSG00000114904.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.29E+00,1.23E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Nerve Tibial,NEK4,ENSG00000114904.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.29E+00,1.23E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Amygdala,PPM1M,ENSG00000164088.17,protein-coding,Element-based TWAS(ETWAS),5.29E+00,1.25E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Heart Atrial Appendage,NEK4,ENSG00000114904.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.28E+00,1.26E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Heart Atrial Appendage,NEK4,ENSG00000114904.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.28E+00,1.26E-07,TWASP000056
