NAME	TITLE	SCORE	
GATD3	glutamine amidotransferase class 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1273]	2.9492273	
NPY	neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]	2.2360184	
POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	1.9067199	
STAP2	signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430]	1.6714692	
MCM3AP-AS1	MCM3AP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16417]	1.6430479	
ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:23317]	1.6192955	
GLP1R	glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]	1.5990897	
NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	1.5634024	
GABRQ	gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454]	1.5545821	
MIR124-2HG	MIR124-2 host gene [Source:HGNC Symbol;Acc:HGNC:48723]	1.5490744	
PRDM12	PR/SET domain 12 [Source:HGNC Symbol;Acc:HGNC:13997]	1.5434129	
MUC20	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]	1.5366398	
TEKT4	tektin 4 [Source:HGNC Symbol;Acc:HGNC:31012]	1.4916867	
PIWIL2	piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]	1.487687	
KLHL15	kelch like family member 15 [Source:HGNC Symbol;Acc:HGNC:29347]	1.4741267	
SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	1.4710703	
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]	1.4445926	
LINC01597	long intergenic non-protein coding RNA 1597 [Source:HGNC Symbol;Acc:HGNC:51594]	1.4444033	
FRAS1	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	1.4411452	
SLC1A6	solute carrier family 1 member 6 [Source:HGNC Symbol;Acc:HGNC:10944]	1.4409547	
VGF	VGF nerve growth factor inducible [Source:HGNC Symbol;Acc:HGNC:12684]	1.395531	
KLF2	KLF transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:6347]	1.3949345	
ZNF526	zinc finger protein 526 [Source:HGNC Symbol;Acc:HGNC:29415]	1.3935378	
PURG	purine rich element binding protein G [Source:HGNC Symbol;Acc:HGNC:17930]	1.3916819	
FBXO15	F-box protein 15 [Source:HGNC Symbol;Acc:HGNC:13617]	1.3813736	
MC4R	melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932]	1.3801422	
PRH1	proline rich protein HaeIII subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9366]	1.371316	
MID2	midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	1.3702077	
TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	1.3441828	
MID1	midline 1 [Source:HGNC Symbol;Acc:HGNC:7095]	1.3310283	
MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	1.3036621	
DAB1	DAB adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:2661]	1.3010901	
CREG2	cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]	1.2831244	
ZRANB3	zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]	1.2815406	
C11orf87	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]	1.278507	
NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	1.2741987	
ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	1.2713408	
