NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RPS4Y1	1	RPS4Y1	
EIF1AY	1	EIF1AY	
USP9Y	1	USP9Y	
NLGN4Y	1	NLGN4Y	
DDX3Y	1	DDX3Y	
PCDH11Y	1	PCDH11Y	
KDM5D	1	KDM5D	
TTTY14	1	TTTY14	
UTY	1	UTY	
ZFY	1	ZFY	
TMSB4Y	1	TMSB4Y	
PWP2	1	PWP2	
PRKY	1	PRKY	
INHBA	1	INHBA	
RMRP	1	RMRP	
GATD3	1	GATD3A	
NPIPB5	1	NPIPB5	
TRAPPC10	1	TRAPPC10	
TAC3	1	TAC3	
ANKAR	1	ANKAR	
SYT10	1	SYT10	
GSTA1	1	GSTA1	
TTN	1	TTN	
ANKRD18B	1	ANKRD18B	
CENPE	1	CENPE	
CENPF	1	CENPF	
IQUB	1	IQUB	
CC2D2B	1	CC2D2B	
SEPTIN7-DT	1	SEPTIN7-AS1	
C5orf63	1	C5orf63	
ALG11	1	ALG11	
WNT2	1	WNT2	
MUC20	1	MUC20	
MT-ND6	1	MT-ND6	
SOGA3	1	SOGA3	
KANSL1-AS1	1	KANSL1-AS1	
XKR6	1	XKR6	
ZBTB20	1	ZBTB20	
MALAT1	1	MALAT1	
ZNF714	1	ZNF714	
KCNK6	1	KCNK6	
TMEM220-AS1	1	TMEM220-AS1	
TMEM238	1	TMEM238	
PRDM13	1	PRDM13	
MEX3A	1	MEX3A	
REL	1	REL	
ZNF208	1	ZNF208	
ANKRD30B	1	ANKRD30B	
SCARNA9	1	SCARNA9	
AURKC	1	AURKC	
KCNQ1OT1	1	KCNQ1OT1	
SULT1A2	1	SULT1A2	
RUNX1T1	1	RUNX1T1	
CFAP210	1	CCDC173	
NFKBIZ	1	NFKBIZ	
LRRC37A2	1	LRRC37A2	
IFI44L	1	IFI44L	
IFI6	1	IFI6	
ANKRD12	1	ANKRD12	
DIO2	1	DIO2	
CCDC7	1	CCDC7	
TGFB2	1	TGFB2	
SPESP1	1	SPESP1	
NPFFR1	1	NPFFR1	
HDC	1	HDC	
LAIR2	1	LAIR2	
JHY	1	JHY	
ZC3H6	1	ZC3H6	
INCENP	1	INCENP	
PGR	1	PGR	
TTR	1	TTR	
PLCXD1	1	PLCXD1	
LINC01322	1	LINC01322	
MC4R	1	MC4R	
CWF19L2	1	CWF19L2	
SPX	1	SPX	
IRAK3	1	IRAK3	
MAN1A2	1	MAN1A2	
KRBA2	1	KRBA2	
CCDC144A	1	CCDC144A	
SLC16A1-AS1	1	SLC16A1-AS1	
BRCA1	1	BRCA1	
NEXN	1	NEXN	
SGCZ	1	SGCZ	
ZNF234	1	ZNF234	
EIF5B	1	EIF5B	
TEP1	1	TEP1	
ZNF91	1	ZNF91	
CCDC148	1	CCDC148	
CALCR	1	CALCR	
NEAT1	1	NEAT1	
DCC	1	DCC	
ANKRD18A	1	ANKRD18A	
RSF1	1	RSF1	
WNT3	1	WNT3	
DLX1	1	DLX1	
ZCWPW1	1	ZCWPW1	
ARID4A	1	ARID4A	
TNRC6B	1	TNRC6B	
PHACTR2	1	PHACTR2	
FBXL13	1	FBXL13	
NAMPT-AS1	1	AC007032.1	
NTS	1	NTS	
KBTBD8	1	KBTBD8	
HAS2-AS1	1	HAS2-AS1	
PRRC2C	1	PRRC2C	
NFATC1	1	NFATC1	
ZNF619	1	ZNF619	
CACNG2	1	CACNG2	
AP1S3	1	AP1S3	
LINC01933	1	LINC01933	
MT-ATP8	1	MT-ATP8	
AK9	1	AK9	
MIPOL1	1	MIPOL1	
MFSD4B	1	MFSD4B	
PARD3B	1	PARD3B	
FAM66B	1	FAM66B	
FOS	1	FOS	
POLR2J3	1	POLR2J3	
FGD6	1	FGD6	
LINC01238	1	LINC01238	
RNMT	1	RNMT	
GOLGA4	1	GOLGA4	
ARHGAP19	1	ARHGAP19	
PURA	1	PURA	
DLX5	1	DLX5	
ZNF654	1	ZNF654	
SCN11A	1	SCN11A	
ZCWPW2	1	ZCWPW2	
MT-CO1	1	MT-CO1	
PPIG	1	PPIG	
RNPC3	1	RNPC3	
RAD50	1	RAD50	
APLNR	1	APLNR	
TTN-AS1	1	TTN-AS1	
CCDC9B	1	CCDC9B	
EMX2	1	EMX2	
CSNK1G1	1	CSNK1G1	
SYT9	1	SYT9	
EGFLAM	1	EGFLAM	
CEP85L	1	CEP85L	
ANKRD26	1	ANKRD26	
MT-ND4L	1	MT-ND4L	
CRYBG3	1	CRYBG3	
MAP9	1	MAP9	
ESRRG	1	ESRRG	
GOLIM4	1	GOLIM4	
BOD1L1	1	BOD1L1	
SLC25A41	1	SLC25A41	
GAN	1	GAN	
HIF3A	1	HIF3A	
PHIP	1	PHIP	
TNNI3K	1	TNNI3K	
KDM7A	1	KDM7A	
TCHH	1	TCHH	
KCNH6	1	KCNH6	
DGKI	1	DGKI	
FTCDNL1	1	FTCDNL1	
ESF1	1	ESF1	
SPATA5	1	SPATA5	
LHX1	1	LHX1	
TAS2R4	1	TAS2R4	
GABRB1	1	GABRB1	
MPHOSPH8	1	MPHOSPH8	
DDR2	1	DDR2	
AKAP9	1	AKAP9	
MOBP	1	MOBP	
SERTAD4	1	SERTAD4	
CCDC88A	1	CCDC88A	
ZNF81	1	ZNF81	
CWC22	1	CWC22	
CCDC142	1	CCDC142	
PTPN14	1	PTPN14	
AKAP5	1	AKAP5	
ALDH8A1	1	ALDH8A1	
MDGA2	1	MDGA2	
TEX15	1	TEX15	
ZC3H12A-DT	1	LINC01137	
ZNF625	1	ZNF625	
XAF1	1	XAF1	
MT-CO3	1	MT-CO3	
POMC	1	POMC	
KDM5A	1	KDM5A	
BCL11B	1	BCL11B	
VGLL3	1	VGLL3	
SYTL4	1	SYTL4	
MGA	1	MGA	
ATRX	1	ATRX	
CRACD	1	KIAA1211	
LINC00685	1	LINC00685	
GPD1	1	GPD1	
ERC1	1	ERC1	
ANXA11	1	ANXA11	
FAT4	1	FAT4	
SNHG7	1	SNHG7	
ANKRD52	1	ANKRD52	
ZNF462	1	ZNF462	
DENND4C	1	DENND4C	
LINC01094	1	LINC01094	
AQP5	1	AQP5	
FER	1	FER	
BAZ2B	1	BAZ2B	
IGF2BP2	1	IGF2BP2	
A2ML1	1	A2ML1	
DNAJC28	1	DNAJC28	
TBX3	1	TBX3	
ESCO1	1	ESCO1	
ANKRD36B	1	ANKRD36B	
PLEKHF2	1	PLEKHF2	
KATNAL2	1	KATNAL2	
ZNF347	1	ZNF347	
IGF1	1	IGF1	
MNS1	1	MNS1	
MT-CO2	1	MT-CO2	
CNTNAP5	1	CNTNAP5	
GSTCD	1	GSTCD	
BDP1	1	BDP1	
CPB2-AS1	1	CPB2-AS1	
GOLGB1	1	GOLGB1	
A2M-AS1	1	A2M-AS1	
ZNF528-AS1	1	ZNF528-AS1	
ATAD2B	1	ATAD2B	
PCDH9	1	PCDH9	
KIF1C	1	KIF1C	
ANKRD33B	1	ANKRD33B	
C10orf105	1	C10orf105	
SLC35E2B	1	SLC35E2B	
GFAP	1	GFAP	
KLHL28	1	KLHL28	
NFIB	1	NFIB	
MYBPC1	1	MYBPC1	
DIAPH2	1	DIAPH2	
RLF	1	RLF	
IL17RD	1	IL17RD	
CEP112	1	CEP112	
GPR3	1	GPR3	
FAT3	1	FAT3	
