Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Body Mass Index,Body Mass Index,Whole Blood,AXIN2,ENSG00000168646.12,protein-coding,Linear Regression Models,-8.70E-03,1.00E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,TRAPPC11,ENSG00000168538.15,protein-coding,Linear Regression Models,-4.70E-03,1.00E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,FRAT2,ENSG00000181274.6,protein-coding,Linear Regression Models,-7.70E-03,1.00E-06,TWASP000012
Body Mass Index,Body Mass Index,Adrenal Gland,PTRHD1,ENSG00000184924.5,protein-coding,Summary-PrediXcan(S-PrediXcan),5.33E+00,1.00E-07,TWASP000056
Body Mass Index,Body Mass Index,Artery Tibia,SLC51A,ENSG00000163959.9,protein-coding,PrediXcan,5.33E+00,1.00E-07,TWASP000056
Body Mass Index,Body Mass Index,Adrenal Gland,PTRHD1,ENSG00000184924.5,protein-coding,Summary-PrediXcan(S-PrediXcan),5.33E+00,1.00E-07,TWASP000054
Body Mass Index,Body Mass Index,Whole Blood,ICAM4,ENSG00000105371.8,protein-coding,Linear Regression Models,8.30E-03,1.00E-07,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,RPL9,ENSG00000163682.15,protein-coding,Linear Regression Models,2.01E-02,1.00E-07,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,ALOX5,ENSG00000012779.10,protein-coding,Linear Regression Models,-9.20E-03,1.00E-08,TWASP000012
Body Mass index Standard Deviation Score,Body Mass Index,Skin Sun Exposed,TUBA1C,ENSG00000167553.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000054
Body Mass index Standard Deviation Score,Body Mass Index,Skin Sun Exposed,TUBA1C,ENSG00000167553.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.73E+00,1.00E-08,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,COMMD8,ENSG00000169019.10,protein-coding,Linear Regression Models,1.20E-02,1.00E-08,TWASP000012
Body Mass Index,Body Mass Index,Colon Sigmoid,GBF1,ENSG00000107862.4,protein-coding,Summary-PrediXcan(S-PrediXcan),6.11E+00,1.00E-09,TWASP000056
Body Mass Index,Body Mass Index,Colon Sigmoid,GBF1,ENSG00000107862.4,protein-coding,Summary-PrediXcan(S-PrediXcan),6.11E+00,1.00E-09,TWASP000054
Body Mass Index,Body Mass Index,Whole Blood,SLC45A3,ENSG00000158715.5,protein-coding,Linear Regression Models,-1.88E-02,1.00E-14,TWASP000012
Body Mass Index,Body Mass Index,Esophagus Muscularis,TLCD3B,ENSG00000149926,protein-coding,PrediXcan,7.74E+00,1.00E-14,TWASP000056
Body Mass Index,Body Mass Index,Testis,KCNJ12,ENSG00000184185.9,protein-coding,PrediXcan,-8.30E+00,1.00E-16,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,HPS1,ENSG00000107521.18,protein-coding,Linear Regression Models,2.27E-02,1.00E-18,TWASP000012
Body Mass Index,Body Mass Index,Lung,TUFM,ENSG00000178952.10,protein-coding,PrediXcan,-1.05E+01,1.00E-25,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,ODAD4,ENSG00000204815,protein-coding,Linear Regression Models,2.25E-02,1.00E-25,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,E2F2,ENSG00000007968.6,protein-coding,Linear Regression Models,3.86E-02,1.00E-27,TWASP000012
Body Mass Index,Body Mass Index,Heart Left Ventricle,SULT1A2,ENSG00000197165.10,protein-coding,PrediXcan,-1.15E+01,1.00E-30,TWASP000056
Body Mass Index,Body Mass Index,Uterus,RBM6,ENSG00000004534.14,protein-coding,PrediXcan,1.39E+01,1.00E-43,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,PRAG1,ENSG00000275342.4,protein-coding,Linear Regression Models,-7.30E-03,1.01E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,SPTLC1,ENSG00000090054.13,protein-coding,Linear Regression Models,-5.60E-03,1.01E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,MTOR,ENSG00000198793.12,protein-coding,Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR),3.88E-02,1.01E-06,TWASP000090
Body Mass Index,Body Mass Index,Whole Blood,PTPRR,ENSG00000153233.12,protein-coding,Linear Regression Models,5.40E-03,1.01E-06,TWASP000012
Body Mass Index,Body Mass Index,Small Intestine-Terminal Ileum,SH3YL1,ENSG00000035115.21,protein-coding,PrediXcan,5.32E+00,1.01E-07,TWASP000056
Body Mass Index,Body Mass Index,Colon Sigmoid,CGN,ENSG00000143375.14,protein-coding,PrediXcan,5.33E+00,1.01E-07,TWASP000056
Body Mass Index,Body Mass Index,Aortic Artery,TMOD3,ENSG00000138594.13,protein-coding,PrediXcan,5.33E+00,1.01E-07,TWASP000056
Body Mass Index,Body Mass Index,Skin Not Sun Exposed,MAST3,ENSG00000099308.10,protein-coding,PrediXcan,-5.33E+00,1.01E-07,TWASP000056
Body Mass Index,Body Mass Index,Brain Cerebellar Hemisphere,CDK5RAP3,ENSG00000108465.14,protein-coding,FUSION,-5.32E+00,1.01E-07,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,PHF13,ENSG00000116273.5,protein-coding,PrediXcan,5.73E+00,1.01E-08,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,TMBIM6,ENSG00000139644.12,protein-coding,Linear Regression Models,-6.30E-03,1.01E-08,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,SHTN1,ENSG00000187164.19,protein-coding,PrediXcan,-6.11E+00,1.01E-09,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,SH3KBP1,ENSG00000147010.17,protein-coding,Linear Regression Models,-6.90E-03,1.01E-09,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,XPO6,ENSG00000169180.11,protein-coding,Linear Regression Models,-1.09E-02,1.01E-09,TWASP000012
Body Mass Index,Body Mass Index,Artery Tibia,PABPC4,ENSG00000090621.13,protein-coding,PrediXcan,6.11E+00,1.01E-09,TWASP000056
Body Mass Index,Body Mass Index,Artery Coronary,NPIPB7,ENSG00000233232.6,protein-coding,PrediXcan,6.11E+00,1.01E-09,TWASP000056
Body Mass Index,Body Mass Index,Thyroid,SHTN1,ENSG00000187164.19,protein-coding,PrediXcan,6.11E+00,1.01E-09,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,CBX3,ENSG00000122565.18,protein-coding,Linear Regression Models,9.30E-03,1.01E-09,TWASP000012
Body Mass Index,Body Mass Index,Adrenal Gland,SNX19,ENSG00000120451.10,protein-coding,PrediXcan,6.11E+00,1.01E-09,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,TM6SF1,ENSG00000136404.15,protein-coding,Linear Regression Models,-1.07E-02,1.01E-09,TWASP000012
Body Mass Index,Body Mass Index,Pancreas,KNOP1,ENSG00000103550.13,protein-coding,FUSION,6.47E+00,1.01E-10,TWASP000003
Body Mass Index,Body Mass Index,Whole Blood,NSUN7,ENSG00000179299.16,protein-coding,Linear Regression Models,-1.06E-02,1.01E-10,TWASP000012
Body Mass Index,Body Mass Index,Lung,RFTN2,ENSG00000162944.10,protein-coding,PrediXcan,6.47E+00,1.01E-10,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,PHC2,ENSG00000134686.18,protein-coding,Linear Regression Models,-1.36E-02,1.01E-10,TWASP000012
Body Mass Index,Body Mass Index,Aortic Artery,HMBS,ENSG00000256269.7,protein-coding,PrediXcan,-6.80E+00,1.01E-11,TWASP000056
Body Mass Index,Body Mass Index,Esophagus Mucosa,C6orf47,ENSG00000204439.3,protein-coding,PrediXcan,-7.13E+00,1.01E-12,TWASP000056
