Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Alzheimer's Disease,Alzheimer'S Disease,Brain Cortex,TOMM40,ENSG00000130204.12,protein-coding,S-PrediXcan,4.07E+01,0.00E+00,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Pituitary,TOMM40,ENSG00000130204.12,protein-coding,S-PrediXcan,4.34E+01,0.00E+00,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Thyroid,PLCG2,ENSG00000197943.9,protein-coding,FUSION,-3.89E+00,1.00E-04,TWASP000173
Alzheimer's Disease,Alzheimer'S Disease,Adipose,NYAP1,ENSG00000166924.8,protein-coding,FUSION,-3.89E+00,1.00E-04,TWASP000173
Alzheimer's Disease,Alzheimer'S Disease,Substantia Nigra,RNF40,ENSG00000103549.21,protein-coding,S-PrediXcan,-4.42E+00,1.00E-05,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Brain Substantia Nigra,RNF40,ENSG00000103549.21,protein-coding,S-PrediXcan,-4.42E+00,1.00E-05,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Pituitary,NRF1,ENSG00000106459.14,protein-coding,S-PrediXcan,4.42E+00,1.00E-05,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Muscle Skeletal,ABCA7,ENSG00000064687.12,protein-coding,FUSION,4.42E+00,1.00E-05,TWASP000173
Alzheimer's Disease,Alzheimer'S Disease,Anterior Cingulate Cortex,HSD3B7,ENSG00000099377.13,protein-coding,S-PrediXcan,-4.42E+00,1.00E-05,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,Brain Hippocampus,GEMIN7,ENSG00000142252.10,protein-coding,S-PrediXcan,4.89E+00,1.00E-06,TWASP000172
Alzheimer's Disease,Alzheimer'S Disease,CD14,APOE,ENSG00000130203.9,protein-coding,FUSION,7.44E+00,1.00E-13,TWASP000173
Alzheimer's Disease,Alzheimer'S Disease,Hypothalamus,CR1,ENSG00000203710.10,protein-coding,S-PrediXcan,8.30E+00,1.00E-16,TWASP000172
