Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Anxiety,Anxiety Disorder,Brain,RP11-259G18.1,ENSG00000261575.2,transcribed_unprocessed_pseudogene,FUSION,-4.88E+00,1.05E-06,TWASP000176
Anxiety,Anxiety Disorder,Brain,GLYCTK,ENSG00000168237.17,protein-coding,FUSION,5.30E+00,1.17E-07,TWASP000176
Anxiety,Anxiety Disorder,Brain,MAPT-AS1,ENSG00000264589.2,antisense,FUSION,-4.85E+00,1.23E-06,TWASP000176
Anxiety Disorder,Anxiety Disorder,Brain Nucleus Accumbens,FOXD4L6,ENSG00000273514.1,protein-coding,Summary-PrediXcan(S-PrediXcan),9.05E+00,1.44E-19,TWASP000056
Anxiety Disorder,Anxiety Disorder,Brain Nucleus Accumbens,FOXD4L6,ENSG00000273514.1,protein-coding,Summary-PrediXcan(S-PrediXcan),9.05E+00,1.44E-19,TWASP000054
Anxiety,Anxiety Disorder,Cerebellum,RGS19,ENSG00000171700.13,protein-coding,FUSION,5.65E+00,1.61E-08,TWASP000176
Anxiety,Anxiety Disorder,Brain,PLEKHM1,ENSG00000225190.10,protein-coding,FUSION,-4.80E+00,1.62E-06,TWASP000176
Anxiety,Anxiety Disorder,Brain,RNF123,ENSG00000164068.15,protein-coding,FUSION,4.80E+00,1.66E-06,TWASP000176
Anxiety,Anxiety Disorder,Brain,RN7SL199P,ENSG00000265315.1,misc_RNA,FUSION,5.20E+00,2.02E-07,TWASP000176
Anxiety,Anxiety Disorder,Cerebellar Hemisphere,RP11-798G7.5,ENSG00000131484.4,lincRNA,FUSION,-5.18E+00,2.22E-07,TWASP000176
Anxiety Disorder,Anxiety Disorder,Brain Hypothalamus,FOXD4L6,ENSG00000273514.1,protein-coding,Summary-PrediXcan(S-PrediXcan),1.10E+01,2.28E-28,TWASP000054
Anxiety Disorder,Anxiety Disorder,Brain Hypothalamus,FOXD4L6,ENSG00000273514.1,protein-coding,Summary-PrediXcan(S-PrediXcan),1.10E+01,2.28E-28,TWASP000056
Anxiety,Anxiety Disorder,Brain,KHK,ENSG00000138030.12,protein-coding,FUSION,-4.65E+00,3.35E-06,TWASP000176
Anxiety,Anxiety Disorder,Brain,CRHR1,ENSG00000120088.14,protein-coding,FUSION,-5.10E+00,3.44E-07,TWASP000176
Anxiety,Anxiety Disorder,Brain,RN7SL656P,ENSG00000265411.1,misc_RNA,FUSION,5.10E+00,3.47E-07,TWASP000176
Anxiety,Anxiety Disorder,Brain,RP11-798G7.7,ENSG00000267246.1,processed_transcript,FUSION,5.09E+00,3.52E-07,TWASP000176
