Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Sigmoid,TIE1,ENSG00000066056.13,protein-coding,FUSION,5.33E+00,1.00E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.89E+00,1.01E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,RP11-7O11.3,ENSG00000237950.1,antisense,FUSION,-4.89E+00,1.01E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.89E+00,1.01E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Whole Blood,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.41E+00,1.02E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,CTD-2378E12.1,ENSG00000273674.4,lincRNA,FUSION,4.41E+00,1.03E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,ARTN,ENSG00000117407.16,protein-coding,FUSION,5.72E+00,1.04E-08,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,RIT2,ENSG00000152214.12,protein-coding,FUSION,4.41E+00,1.05E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adrenal Gland,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.88E+00,1.05E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.88E+00,1.05E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,CCDC24,ENSG00000159214.12,protein-coding,FUSION,-6.10E+00,1.08E-09,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hypothalamus,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.40E+00,1.10E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.87E+00,1.13E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,CTC-498M16.4,ENSG00000271904.1,lincRNA,FUSION,-4.39E+00,1.14E-05,TWASP000001
