gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank
ENSG00000000003	TSPAN6	3485	1580	2728	NA	NA	NA	NA	NA	2597.66666666667
ENSG00000000419	DPM1	3857	4656	5328	3216	2911	NA	3162	2595	3675
ENSG00000001036	FUCA2	5038	2396	4747	3008	NA	NA	NA	3567	3751.2
ENSG00000001084	GCLC	NA	NA	6908	5165	NA	NA	NA	NA	6036.5
ENSG00000001461	NIPAL3	5037	5127	5606	4749	3267	NA	3172	3746	4386.28571428571
ENSG00000001561	ENPP4	NA	3960	5617	2510	2093	NA	4708	NA	3777.6
ENSG00000001629	ANKIB1	5647	4708	6629	NA	NA	NA	NA	2647	4907.75
ENSG00000001630	CYP51A1	5342	4933	4316	3439	2154	NA	3195	3632	3858.71428571429
ENSG00000002330	BAD	3163	5152	5445	5985	NA	NA	4144	NA	4777.8
ENSG00000002549	LAP3	4479	2901	6220	3513	3011	NA	4664	3120	3986.85714285714
ENSG00000002586	CD99	404	301	738	360	614	340	244	413	426.75
ENSG00000002587	HS3ST1	NA	NA	1860	NA	NA	NA	NA	NA	1860
ENSG00000002834	LASP1	3150	3550	2580	4600	1969	NA	3146	NA	3165.83333333333
ENSG00000002933	TMEM176A	3091	1471	2804	1210	NA	NA	NA	NA	2144
ENSG00000003056	M6PR	2811	4580	2862	3535	3016	NA	3504	3211	3359.85714285714
ENSG00000003096	KLHL13	NA	3604	NA	4447	NA	NA	NA	NA	4025.5
ENSG00000003147	ICA1	NA	NA	NA	4770	NA	NA	NA	NA	4770
ENSG00000003249	DBNDD1	NA	NA	4695	5068	NA	NA	NA	NA	4881.5
ENSG00000003393	ALS2	NA	NA	NA	5591	NA	NA	NA	NA	5591
ENSG00000003402	CFLAR	NA	NA	6486	NA	NA	NA	NA	NA	6486
ENSG00000003756	RBM5	3369	2080	3037	1653	NA	NA	1673	1929	2290.16666666667
ENSG00000003987	MTMR7	NA	4622	NA	3863	NA	NA	NA	NA	4242.5
ENSG00000004059	ARF5	2185	3020	2166	2329	NA	NA	1282	2810	2298.66666666667
ENSG00000004142	POLDIP2	5340	5678	6662	5315	NA	NA	NA	NA	5748.75
ENSG00000004455	AK2	5529	4600	NA	6083	NA	NA	4619	3716	4909.4
ENSG00000004468	CD38	NA	NA	6697	NA	NA	NA	NA	NA	6697
ENSG00000004478	FKBP4	1834	1674	1460	1288	962	NA	914	2127	1465.57142857143
ENSG00000004487	KDM1A	3652	3390	4473	3136	NA	NA	1998	2791	3240
