ID	CHR	POS
rs80241051	10	100305955
rs77338525	10	130337778
chr10_130345544_D	10	130345544
chr10_130323040_D	10	130323040
rs190753601	10	130323051
rs1536452	10	130552334
rs12289248	11	95855079
rs1912779	12	34232845
rs12423254	12	34201291
rs117445376	12	34258645
rs11612244	12	62268292
rs10877757	12	62271533
rs114894345	12	104299363
rs115520148	1	223123933
rs75505205	1	223114972
rs79918695	1	223121611
rs139247870	1	223119514
rs80290720	1	223121195
rs61746477	1	223116240
rs115507625	1	223121189
rs75787943	1	223112472
rs115054736	1	223121186
rs79424479	1	223118821
rs76062517	1	223124022
rs114583513	1	223121194
rs74795221	1	223114344
rs79038521	1	223120200
rs4884321	13	59769695
rs4886127	13	59772342
chr14_22433265_D	14	22433265
rs78367570	14	104471165
rs139705157	14	104446646
rs113941618	15	25286664
rs112586150	15	25246958
rs4780135	15	33911837
rs148757992	15	89282332
rs7176899	15	97404193
rs6496190	15	97394826
rs78303167	16	52159042
rs77433235	16	63605756
rs115314145	17	9549381
rs79919349	20	55282846
rs35787487	2	29450684
rs3098974	2	172950073
rs13390848	2	172957643
rs62183854	2	172955433
rs149810662	22	30256444
rs1842804	3	65170001
chr3_65215069_I	3	65215069
rs62270786	3	139019777
rs142180999	3	192451017
rs55888696	3	192328556
rs148329766	3	192528703
rs144121716	3	192390385
rs141722924	3	192431410
chr3_192465321_D	3	192465321
rs73203364	3	192315755
rs150769867	4	21844840
rs144783209	4	146403529
rs112527286	4	164468043
rs72737735	5	4876636
rs142111923	5	174061106
rs143587339	5	174113335
rs7718730	5	174059299
rs114653095	6	18478894
rs79556841	6	63486071
rs77941126	6	115208421
chr8_4904021_D	8	4904021
rs28702733	8	4907169
rs149338678	8	27784040
rs41280169	9	114982937
