gene_id	gene_name	V12D07-075_D1	V13M13-362_A1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	nsigsamps	meanrank
ENSG00000000003	TSPAN6								1110		1	1110
ENSG00000000419	DPM1						1600				1	1600
ENSG00000000971	CFH							952	2612		2	1782
ENSG00000001036	FUCA2	1096			1964						2	1530
ENSG00000001461	NIPAL3								1797		1	1797
ENSG00000001497	LAS1L								2521		1	2521
ENSG00000001561	ENPP4							1916		1271	2	1593.5
ENSG00000001617	SEMA3F								2069		1	2069
ENSG00000001629	ANKIB1					1774			3082		2	2428
ENSG00000001630	CYP51A1					3244				1040	2	2142
ENSG00000001631	KRIT1						1634				1	1634
ENSG00000002549	LAP3							1306		683	2	994.5
ENSG00000002586	CD99		788		220	1318	372	150	323	238	7	487
ENSG00000002587	HS3ST1			408				1246	931	143	4	682
ENSG00000002834	LASP1		131	468							2	299.5
ENSG00000002919	SNX11					3727					1	3727
ENSG00000002933	TMEM176A			309		3215		323	866	330	5	1008.6
ENSG00000003096	KLHL13		642				1412				2	1027
ENSG00000003137	CYP26B1	528				1057	877		1880		4	1085.5
ENSG00000003147	ICA1									1576	1	1576
ENSG00000003402	CFLAR					3528					1	3528
ENSG00000003509	NDUFAF7					2881					1	2881
ENSG00000003756	RBM5	523				383	695	1625	1327		5	910.6
ENSG00000003987	MTMR7				1366						1	1366
ENSG00000004139	SARM1					2632	2546				2	2589
ENSG00000004142	POLDIP2					2976					1	2976
ENSG00000004455	AK2					2803					1	2803
ENSG00000004468	CD38			478					2906		2	1692
ENSG00000004478	FKBP4	1170				3168			2463	524	4	1831.25
ENSG00000004487	KDM1A					2519	1101			1509	3	1709.66666666667
ENSG00000004534	RBM6						1922	2160	3153	1263	4	2124.5
ENSG00000004766	VPS50	1728									1	1728
ENSG00000004777	ARHGAP33	772			2458		2785		2819		4	2208.5
ENSG00000004779	NDUFAB1				699	1609					2	1154
ENSG00000004799	PDK4				2391					165	2	1278
ENSG00000004838	ZMYND10	1578	928				1425	100	121		5	830.4
ENSG00000004848	ARX		16								1	16
ENSG00000004866	ST7								2725		1	2725
ENSG00000004948	CALCR	255			141	291	97	1465	1453	325	7	575.285714285714
ENSG00000004961	HCCS		349								1	349
ENSG00000005022	SLC25A5					2585		1222			2	1903.5
ENSG00000005059	MCUB									1098	1	1098
ENSG00000005075	POLR2J				2343						1	2343
ENSG00000005108	THSD7A							1914			1	1914
ENSG00000005156	LIG3								2648		1	2648
ENSG00000005206	SPPL2B						1661				1	1661
ENSG00000005238	FAM214B	1037									1	1037
ENSG00000005249	PRKAR2B				2027	776			1325		3	1376
ENSG00000005302	MSL3				2348						1	2348
ENSG00000005339	CREBBP					2915					1	2915
ENSG00000005379	TSPOAP1								1713		1	1713
ENSG00000005448	WDR54				2245			913			2	1579
ENSG00000005486	RHBDD2	64	70		121	494	295	167	279	219	8	213.625
ENSG00000005513	SOX8					1322					1	1322
ENSG00000005700	IBTK	1759				3094					2	2426.5
ENSG00000005801	ZNF195					1285					1	1285
ENSG00000005810	MYCBP2					3101		1393			2	2247
ENSG00000005884	ITGA3				1153	859					2	1006
ENSG00000005893	LAMP2				305	755	655	1011	748		5	694.8
ENSG00000006007	GDE1						2409				1	2409
ENSG00000006015	REX1BD	1921			2173	3822				1114	4	2257.5
ENSG00000006016	CRLF1	38		8	312	1983		12	8	34	7	342.142857142857
ENSG00000006042	TMEM98								2610		1	2610
ENSG00000006062	MAP3K14			574							1	574
ENSG00000006071	ABCC8					2195				1190	2	1692.5
ENSG00000006118	TMEM132A	583	581			3376	2340			1390	5	1654
ENSG00000006125	AP2B1				1496				3018		2	2257
ENSG00000006128	TAC1	30	186	82	21	34	45	37	52	107	9	66
ENSG00000006210	CX3CL1	1091					1611		2656		3	1786
ENSG00000006282	SPATA20					3355	2305			1302	3	2320.66666666667
ENSG00000006283	CACNA1G					3845	2698				2	3271.5
ENSG00000006327	TNFRSF12A	192		157	1118	2536	1585	1968	2112	58	8	1215.75
ENSG00000006377	DLX6		946	528		2886	1313				4	1418.25
ENSG00000006468	ETV1				1997	1477			1451		3	1641.66666666667
ENSG00000006576	PHTF2						2814				1	2814
ENSG00000006625	GGCT									1523	1	1523
ENSG00000006652	IFRD1				1836						1	1836
ENSG00000006740	ARHGAP44			529		3268		2138			3	1978.33333333333
ENSG00000006756	ARSD								3186		1	3186
ENSG00000006757	PNPLA4				1473	3312	1888				3	2224.33333333333
ENSG00000007047	MARK4				2403				2761		2	2582
ENSG00000007168	PAFAH1B1	219				1186			1402		3	935.666666666667
ENSG00000007174	DNAH9							1095	734		2	914.5
ENSG00000007237	GAS7					3139	970				2	2054.5
ENSG00000007341	ST7L				1773	3656					2	2714.5
ENSG00000007392	LUC7L					901					1	901
ENSG00000007402	CACNA2D2				1872						1	1872
ENSG00000007516	BAIAP3	243	126		105	189	171	298	218	760	8	263.75
ENSG00000007541	PIGQ						2815				1	2815
ENSG00000007545	CRAMP1	1012							3215		2	2113.5
ENSG00000008018	PSMB1	318			341	744	2166		2044	745	6	1059.66666666667
ENSG00000008056	SYN1		392				2592	761	745		4	1122.5
ENSG00000008083	JARID2	1483									1	1483
ENSG00000008086	CDKL5					1189	3077			1575	3	1947
ENSG00000008118	CAMK1G						2841		1828		2	2334.5
ENSG00000008130	NADK			561							1	561
ENSG00000008226	DLEC1							338	507		2	422.5
ENSG00000008277	ADAM22					2771	2197		2472		3	2480
ENSG00000008282	SYPL1					1865			2771		2	2318
ENSG00000008283	CYB561	960	360		647	1004	2851	1708	2450		7	1425.71428571429
ENSG00000008294	SPAG9						1830				1	1830
ENSG00000008300	CELSR3					3017			3118	1529	3	2554.66666666667
ENSG00000008311	AASS	1054			1783	3755				1398	4	1997.5
ENSG00000008324	SS18L2					3584					1	3584
ENSG00000008382	MPND							1464			1	1464
ENSG00000008394	MGST1	1696		334	670	1354	528	864	2539	564	8	1068.625
ENSG00000008441	NFIX		498		1196	802	1442		1198	583	6	953.166666666667
ENSG00000008517	IL32						2958				1	2958
ENSG00000008710	PKD1		256		1067	514	377		1407		5	724.2
ENSG00000008735	MAPK8IP2				542	3315		1380	1154		4	1597.75
ENSG00000008838	MED24						2093				1	2093
ENSG00000008952	SEC62				1304						1	1304
ENSG00000008988	RPS20				1768	736	1178	387	414		5	896.6
ENSG00000009307	CSDE1	661			1816	477					3	984.666666666667
ENSG00000009694	TENM1	1909	437				333	638	1820		5	1027.4
ENSG00000009780	FAM76A								2747		1	2747
ENSG00000009844	VTA1					2138	2568				2	2353
ENSG00000009954	BAZ1B	1062				2124					2	1593
