ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000155052	CNTNAP5	2	124782864	125672864	1	protein_coding	129684	CNTNAP5	0.0972729242803616	-1.052155055	1	3.687	0	NA	NA	NA	NA	No	NA	2.49548e-06	rs145101300	5
ENSG00000138411	HECW2	2	197059094	197458416	-1	protein_coding	57520	HECW2	0.99999585183338	0.225991467	1	9.022	0	NA	NA	NA	NA	No	NA	9.44859e-06	rs4261741	6
ENSG00000178568	ERBB4	2	212240446	213403565	-1	protein_coding	2066	ERBB4	0.999900653614005	2.8033432	2	16.42	0	NA	NA	NA	NA	No	NA	9.04312e-06	rs567346596	7
ENSG00000187098	MITF	3	69788586	70017488	1	protein_coding	4286	MITF	0.997810643539312	-0.642527591	6	4.294	0	NA	NA	NA	NA	No	NA	3.35237e-06	rs555833822;rs73838671	8
ENSG00000114861	FOXP1	3	71003844	71633140	-1	protein_coding	27086	FOXP1	0.999750735055125	-0.080650462	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	5.07328e-05	rs555833822	8
ENSG00000031081	ARHGAP31	3	119013220	119139561	1	protein_coding	57514	ARHGAP31	0.999634465686628	0.255133653	3	4.866	0	NA	NA	NA	NA	No	NA	5.48035e-06	rs17203118	9
ENSG00000176142	TMEM39A	3	119148347	119187677	-1	protein_coding	55254	TMEM39A	0.979617998375633	0.743414889	4	6.065	0	NA	NA	NA	NA	No	NA	3.61262e-06	rs17203118	9
ENSG00000163389	POGLUT1	3	119187785	119213555	1	protein_coding	56983	POGLUT1	0.000114466389873238	0.891711931	1	6.065	6	0.0359413	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	5.48035e-06	rs17203118	9
ENSG00000113845	TIMMDC1	3	119217379	119243937	1	protein_coding	51300	TIMMDC1	5.67649555021519e-07	1.220876327	11	8.036	0	NA	NA	NA	NA	No	NA	8.57268e-06	rs17203118	9
ENSG00000121594	CD80	3	119243140	119278449	-1	protein_coding	941	CD80	0.25522458111489	0.839029375	8	1.36	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.5272e-05	rs17203118	9
