gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	meanrank	samples_signif
ENSG00000000003	TSPAN6	3312		2891							3101.5	2
ENSG00000000419	DPM1	3538	3637	5045	4082	3366	2707	2688		4554	3702.125	8
ENSG00000001036	FUCA2	5444	2494	5597	3088			3649			4054.4	5
ENSG00000001084	GCLC			6700	4902					4897	5499.666667	3
ENSG00000001461	NIPAL3	5368	5628	5971	4226	3571	3909	2753		3163	4323.625	8
ENSG00000001561	ENPP4		4107	6554	2278	2234	4492			2319	3664	6
ENSG00000001629	ANKIB1	5346	5882	6974		3991	4762	2473	2388	5017	4604.125	8
ENSG00000001630	CYP51A1	5015	3895	3808	3605	1596	2000	3247	877	2356	2933.222222	9
ENSG00000002330	BAD	3513	5459	5316	5993		3922		3095	3193	4355.857143	7
ENSG00000002549	LAP3	4722	3824	6382	3156	2969	4851	3857			4251.571429	7
ENSG00000002586	CD99	550	448	802	368	718	208	497	285	442	479.7777778	9
ENSG00000002587	HS3ST1			1982							1982	1
ENSG00000002834	LASP1	2928	3521	2468	4498	2475	3146		1530	1547	2764.125	8
ENSG00000002933	TMEM176A	3380	1893	3057	1323					3113	2553.2	5
ENSG00000003056	M6PR	2203	4169	2879	3218	2851	2815	2505	1832	3091	2840.333333	9
ENSG00000003096	KLHL13		3926		4280					1858	3354.666667	3
ENSG00000003147	ICA1				4991						4991	1
ENSG00000003249	DBNDD1			4666	5390					2683	4246.333333	3
ENSG00000003393	ALS2				6054						6054	1
ENSG00000003402	CFLAR			6689							6689	1
ENSG00000003756	RBM5	2653	2092	3104	1542		1758	2327	2357	4339	2521.5	8
ENSG00000003987	MTMR7		4825		4058						4441.5	2
ENSG00000004059	ARF5	2027	2853	2332	2087		1064	3384	2182	2279	2276	8
ENSG00000004142	POLDIP2	4844	5405	6474	5581					4572	5375.2	5
ENSG00000004455	AK2	5311	5239	6592	5868		3417	3326			4958.833333	6
ENSG00000004478	FKBP4	1668	1781	1478	1354	1164	850	2556	1322	2115	1587.555556	9
ENSG00000004487	KDM1A	2895	3756	4265	2863		2327	2135			3040.166667	6
ENSG00000004534	RBM6	4921	4295	6098	6018		3731				5012.6	5
ENSG00000004660	CAMKK1		4102	4782	2372		3469	2890			3523	5
ENSG00000004700	RECQL					2255					2255	1
ENSG00000004766	VPS50		5633	5986	4356						5325	3
ENSG00000004779	NDUFAB1	559	745	652	1211	928	552	620	1134	740	793.4444444	9
ENSG00000004799	PDK4			6780				3223			5001.5	2
ENSG00000004838	ZMYND10	242		231							236.5	2
ENSG00000004866	ST7		5743	4565							5154	2
ENSG00000004897	CDC27	3938	3539	4059	4027	2843	3456	3761		2678	3537.625	8
ENSG00000004948	CALCR		740		308		349	111		598	421.2	5
ENSG00000005007	UPF1	3426	4746	4857	3774	2714	3608	3786		4753	3958	8
ENSG00000005020	SKAP2	5426	5242	6101	3649	2897				2908	4370.5	6
ENSG00000005022	SLC25A5	3567	2878	4635	3828	3111	4432			3070	3645.857143	7
ENSG00000005075	POLR2J	3262	2885	5539	6068	2424	2672	2082	2319	4366	3513	9
ENSG00000005108	THSD7A				3349						3349	1
ENSG00000005175	RPAP3		3394		5830		4980				4734.666667	3
ENSG00000005194	CIAPIN1	3301	4606	4855	5577		2178	3043		2871	3775.857143	7
ENSG00000005206	SPPL2B			5678							5678	1
ENSG00000005238	FAM214B				5692	1854	4559				4035	3
ENSG00000005249	PRKAR2B	1878	1429	1694	1762	2596	2469		2490	1495	1976.625	8
ENSG00000005302	MSL3	5661	5571	4251	5831		4333	3913			4926.666667	6
ENSG00000005339	CREBBP	3903	5435	5634	5203				1846		4404.2	5
ENSG00000005379	TSPOAP1	2276	4675	2375	3363					2288	2995.4	5
ENSG00000005448	WDR54	1350	3004	1860	3203	1954	3209	2070		1737	2298.375	8
ENSG00000005483	KMT2E			6696	5446	3346			3231		4679.75	4
ENSG00000005486	RHBDD2	82	139	103	136	162	84	125	171	58	117.7777778	9
ENSG00000005513	SOX8	4046		3879	3939		2508			617	2997.8	5
ENSG00000005700	IBTK		4832	6672			4895	2053			4613	4
ENSG00000005810	MYCBP2	922	1458	1427	1566	1907	1562	2147	1822	932	1527	9
ENSG00000005812	FBXL3	5536	4506	6526						4738	5326.5	4
ENSG00000005882	PDK2	4084	4989	4811	4752				3193	4243	4345.333333	6
ENSG00000005884	ITGA3	2876	2873	3441	3341		3313	1652			2916	6
ENSG00000005889	ZFX			6805							6805	1
ENSG00000005893	LAMP2	2400	772	3016	473	265	474	626	1314	205	1060.555556	9
ENSG00000006007	GDE1		5460	6542	4753					3209	4991	4
ENSG00000006015	REX1BD	2051	2351	2490	2293	1732	1565	2659	2640	2373	2239.333333	9
ENSG00000006016	CRLF1	31	387	35	444			495			278.4	5
ENSG00000006042	TMEM98			6654						838	3746	2
ENSG00000006118	TMEM132A	1864	1874	1744	1494	1411	940	2956	770	1402	1606.111111	9
ENSG00000006125	AP2B1	3248	3145	2227	4765	2261	2417	2903	1400	2227	2732.555556	9
ENSG00000006128	TAC1	87	92	109	122	202	165	51	26	574	158.6666667	9
ENSG00000006210	CX3CL1	1611	2324	1560	1447	2568	1013	997	1004	1419	1549.222222	9
ENSG00000006282	SPATA20	3799	5319	5313	4994		3907		2454	3964	4250	7
ENSG00000006327	TNFRSF12A					2860					2860	1
ENSG00000006432	MAP3K9				4133						4133	1
ENSG00000006451	RALA			6969							6969	1
ENSG00000006468	ETV1	1938	887	1132	443		3821	1985			1701	6
ENSG00000006530	AGK		3530		5108					3832	4156.666667	3
ENSG00000006625	GGCT	3849	5378	4069			3943				4309.75	4
ENSG00000006652	IFRD1		4623	6513	4875		4836				5211.75	4
ENSG00000006715	VPS41	4282	4204	4705	5434				1866	2519	3835	6
ENSG00000006740	ARHGAP44		2869	3395	2488		3504	2982		1999	2872.833333	6
ENSG00000006744	ELAC2	5620		6861							6240.5	2
ENSG00000006757	PNPLA4	3571	4201	2553	3637					3908	3574	5
ENSG00000006831	ADIPOR2	5432								1558	3495	2
ENSG00000007047	MARK4		5793	4414	5650					4167	5006	4
