NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RPS4Y1	1	RPS4Y1	
EIF1AY	1	EIF1AY	
USP9Y	1	USP9Y	
DDX3Y	1	DDX3Y	
NLGN4Y	1	NLGN4Y	
KDM5D	1	KDM5D	
TTTY14	1	TTTY14	
UTY	1	UTY	
ZFY	1	ZFY	
PCDH11Y	1	PCDH11Y	
TMSB4Y	1	TMSB4Y	
PWP2	1	PWP2	
PRKY	1	PRKY	
GATD3	1	GATD3A	
FAM237A	1	FAM237A	
AOX1	1	AOX1	
GSTM1	1	GSTM1	
INHBA	1	INHBA	
KCNMB2	1	KCNMB2	
CCKBR	1	CCKBR	
MAFIP	1	MAFIP	
TSHR	1	TSHR	
TERC	1	TERC	
LUM	1	LUM	
CHRM5	1	CHRM5	
LYPD6B	1	LYPD6B	
TRAPPC10	1	TRAPPC10	
GALP	1	GALP	
H1-4	1	HIST1H1E	
LINC00622	1	LINC00622	
KCNK15	1	KCNK15	
IL11	1	IL11	
SOSTDC1	1	SOSTDC1	
LINC02593	1	LINC02593	
FSIP2	1	FSIP2	
CRH	1	CRH	
NTS	1	NTS	
PRR15	1	PRR15	
EGFL6	1	EGFL6	
PROC	1	PROC	
FOXD2	1	FOXD2	
ADAMTS2	1	ADAMTS2	
SERPINB11	1	SERPINB11	
TPBG	1	TPBG	
RMRP	1	RMRP	
IRS4	1	IRS4	
BEND4	1	BEND4	
PPP4R1-AS1	1	PPP4R1-AS1	
ADAMTS5	1	ADAMTS5	
GREM1	1	GREM1	
PENK	1	PENK	
ADAMTSL3	1	ADAMTSL3	
SAMD9	1	SAMD9	
SOX14	1	SOX14	
TRPC5	1	TRPC5	
SCARNA9	1	SCARNA9	
NKILA	1	NKILA	
LINC01235	1	LINC01235	
MUC20	1	MUC20	
ZNF804B	1	ZNF804B	
KANSL1-AS1	1	KANSL1-AS1	
CBLN4	1	CBLN4	
LYPD6	1	LYPD6	
SATL1	1	SATL1	
LRRC37A2	1	LRRC37A2	
SCML4	1	SCML4	
SHISA8	1	SHISA8	
SPINK2	1	SPINK2	
KIF11	1	KIF11	
PAPSS2	1	PAPSS2	
LINC02574	1	LINC02574	
SHH	1	SHH	
LINC01252	1	LINC01252	
KCNJ12	1	KCNJ12	
SPESP1	1	SPESP1	
PABPC5-AS1	1	PABPC5-AS1	
C21orf62-AS1	1	C21orf62-AS1	
CRACD	1	KIAA1211	
TAC3	1	TAC3	
LINC01630	1	LINC01630	
FRAS1	1	FRAS1	
TCHH	1	TCHH	
ARSJ	1	ARSJ	
IGF2BP2	1	IGF2BP2	
TCAF2	1	TCAF2	
SEMA3A	1	SEMA3A	
MT-ND6	1	MT-ND6	
MATR3	1	MATR3	
STC1	1	STC1	
CTXN3	1	CTXN3	
PI15	1	PI15	
LINC01615	1	LINC01615	
FADS6	1	FADS6	
NPR3	1	NPR3	
POU3F4	1	POU3F4	
NPAS4	1	NPAS4	
UTS2	1	UTS2	
THSD7B	1	THSD7B	
HS3ST5	1	HS3ST5	
SYT10	1	SYT10	
TEKT4	1	TEKT4	
WNT3	1	WNT3	
XAF1	1	XAF1	
COL2A1	1	COL2A1	
CARTPT	1	CARTPT	
GINS3	1	GINS3	
WNT2	1	WNT2	
SYT2	1	SYT2	
REL	1	REL	
TNNI3K	1	TNNI3K	
LINC02389	1	LINC02389	
PTH2R	1	PTH2R	
MALAT1	1	MALAT1	
DCC	1	DCC	
ELAVL2	1	ELAVL2	
CCDC7	1	CCDC7	
OXTR	1	OXTR	
NEUROD1	1	NEUROD1	
PRSS23	1	PRSS23	
CNTN5	1	CNTN5	
PLCH1	1	PLCH1	
SLC16A5	1	SLC16A5	
ANKRD36C	1	ANKRD36C	
NUAK1	1	NUAK1	
CNTN6	1	CNTN6	
MEF2C-AS2	1	MEF2C-AS2	
PMEPA1	1	PMEPA1	
C5orf63	1	C5orf63	
NPIPB5	1	NPIPB5	
HS3ST2	1	HS3ST2	
LOXL1-AS1	1	LOXL1-AS1	
APLF	1	APLF	
ADAM19	1	ADAM19	
CDHR1	1	CDHR1	
KRBA2	1	KRBA2	
SLC9B1	1	SLC9B1	
GLIS1	1	GLIS1	
CLIC5	1	CLIC5	
CLCA4	1	CLCA4	
DOK7	1	DOK7	
LINC01322	1	LINC01322	
ZNF749	1	ZNF749	
MOV10L1	1	MOV10L1	
KISS1	1	KISS1	
UPP2	1	UPP2	
QRFPR	1	QRFPR	
ESR1	1	ESR1	
COL11A1	1	COL11A1	
HEYL	1	HEYL	
SLC35E2B	1	SLC35E2B	
EMILIN3	1	EMILIN3	
LINC00648	1	LINC00648	
MYBL1	1	MYBL1	
NYAP2	1	NYAP2	
CYP26B1	1	CYP26B1	
GRIN2A	1	GRIN2A	
LINC02614	1	LINC02614	
MROCKI	1	LINC01268	
LINC01260	1	LINC01260	
OR2L13	1	OR2L13	
SLC51A	1	SLC51A	
COL4A4	1	COL4A4	
PROKR1	1	PROKR1	
GPR179	1	GPR179	
LHX5	1	LHX5	
NKAIN3	2	NKAIN3:NKAIN3-IT1	
ZNF563	1	ZNF563	
CALCR	1	CALCR	
LERFS	1	LERFS	
ZNF208	1	ZNF208	
NDE1	1	NDE1	
RGS1	1	RGS1	
GATA3	1	GATA3	
FERMT1	1	FERMT1	
KCTD4	1	KCTD4	
PLCE1	1	PLCE1	
ID2-AS1	1	ID2-AS1	
TTPA	1	TTPA	
ANKRD36	1	ANKRD36	
MT-ATP8	1	MT-ATP8	
PPARGC1A	1	PPARGC1A	
SIX4	1	SIX4	
GPR83	1	GPR83	
CCDC144A	1	CCDC144A	
CDH12	1	CDH12	
COL25A1	1	COL25A1	
NFIA	1	NFIA	
ZBTB20	1	ZBTB20	
IGF1	1	IGF1	
CD84	1	CD84	
ITGA4	1	ITGA4	
ANKRD12	1	ANKRD12	
DYSF	1	DYSF	
NPAP1	1	NPAP1	
MYOZ3	1	MYOZ3	
GRM8	1	GRM8	
LRRIQ3	1	LRRIQ3	
ZNF525	1	ZNF525	
RNPC3	1	RNPC3	
SAMD11	1	SAMD11	
SCIN	1	SCIN	
ST6GALNAC3	1	ST6GALNAC3	
ALDH1A1	1	ALDH1A1	
C6orf132	1	C6orf132	
PGF	1	PGF	
ZCCHC2	1	ZCCHC2	
ZCWPW2	1	ZCWPW2	
TDRD5	1	TDRD5	
KRT8	1	KRT8	
KLK10	1	KLK10	
ACOT11	1	ACOT11	
KCNH5	1	KCNH5	
LINC01238	1	LINC01238	
KLF3-AS1	1	KLF3-AS1	
ESYT3	1	ESYT3	
CHODL	1	CHODL	
ENPP1	1	ENPP1	
BISPR	1	BISPR	
INSYN2A	1	INSYN2A	
TTF2	1	TTF2	
IQUB	1	IQUB	
LEMD1	1	LEMD1	
NDST3	1	NDST3	
POU3F1	1	POU3F1	
KCNQ1OT1	1	KCNQ1OT1	
KCNE5	1	KCNE5	
C2orf88	1	C2orf88	
OSBPL3	1	OSBPL3	
CHRNA3	1	CHRNA3	
SMIM24	1	SMIM24	
VAC14-AS1	1	VAC14-AS1	
LMO2	1	LMO2	
LINC00652	1	LINC00652	
PLCXD3	1	PLCXD3	
ANO3	1	ANO3	
RASGRP1	1	RASGRP1	
SOX11	1	SOX11	
PGR	1	PGR	
GPR4	1	GPR4	
ZNF713	1	ZNF713	
