gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank
ENSG00000000003	TSPAN6	3361	1509	2900	NA	NA	NA	NA	NA	2590
ENSG00000000419	DPM1	3329	4408	5298	3902	3429	NA	2828	NA	3865.66666666667
ENSG00000001036	FUCA2	5111	2649	5089	3186	NA	NA	NA	3365	3880
ENSG00000001084	GCLC	NA	NA	NA	5025	NA	NA	NA	NA	5025
ENSG00000001461	NIPAL3	5302	4280	5528	4507	3233	NA	2856	2557	4037.57142857143
ENSG00000001561	ENPP4	NA	4215	6307	2204	2310	NA	4592	NA	3925.6
ENSG00000001629	ANKIB1	5684	5477	6550	6006	NA	1706	NA	3042	4744.16666666667
ENSG00000001630	CYP51A1	5355	4882	3591	3072	1978	2585	3667	3765	3611.875
ENSG00000002330	BAD	3266	5273	4737	5935	NA	NA	3960	NA	4634.2
ENSG00000002549	LAP3	4042	3035	6412	3236	2755	NA	4907	NA	4064.5
ENSG00000002586	CD99	405	317	728	344	547	303	239	491	421.75
ENSG00000002587	HS3ST1	NA	NA	1939	NA	NA	NA	NA	NA	1939
ENSG00000002834	LASP1	3198	3521	2624	5083	2067	1696	2691	NA	2982.85714285714
ENSG00000002933	TMEM176A	3229	1805	2740	1226	NA	NA	NA	NA	2250
ENSG00000003056	M6PR	2532	3710	3044	3881	2479	3065	2807	2186	2963
ENSG00000003096	KLHL13	NA	3806	NA	4203	NA	NA	NA	NA	4004.5
ENSG00000003147	ICA1	NA	NA	NA	5091	NA	NA	NA	NA	5091
ENSG00000003249	DBNDD1	NA	NA	4990	5488	NA	NA	NA	NA	5239
ENSG00000003393	ALS2	NA	NA	NA	6055	NA	NA	NA	NA	6055
ENSG00000003402	CFLAR	NA	NA	6429	NA	NA	NA	NA	NA	6429
ENSG00000003756	RBM5	3176	2252	3246	1695	NA	2530	1798	1769	2352.28571428571
ENSG00000003987	MTMR7	NA	4263	NA	3872	NA	NA	NA	NA	4067.5
