NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MT-ND6	1	MT-ND6	
FABP6	1	FABP6	
NEFL	1	NEFL	
PAK3	1	PAK3	
SCAI	1	SCAI	
PDE2A	1	PDE2A	
CKMT1A	1	CKMT1A	
VSNL1	1	VSNL1	
RAPGEF4	1	RAPGEF4	
POMC	1	POMC	
GRIN2B	1	GRIN2B	
BSN	1	BSN	
GABRB1	1	GABRB1	
NTS	1	NTS	
ELAVL2	1	ELAVL2	
RAB27B	1	RAB27B	
TENM3	1	TENM3	
RBFOX1	1	RBFOX1	
MEG8	1	MEG8	
MAP7D2	1	MAP7D2	
ERICH3	1	ERICH3	
PACSIN1	1	PACSIN1	
SYT1	1	SYT1	
UNC13A	1	UNC13A	
RGS7	1	RGS7	
SGSM1	1	SGSM1	
SHC3	1	SHC3	
UBE2QL1	1	UBE2QL1	
NMNAT2	1	NMNAT2	
ADARB1	1	ADARB1	
PDE1B	1	PDE1B	
HES5	1	HES5	
RIMS2	1	RIMS2	
GPRIN1	1	GPRIN1	
RALYL	1	RALYL	
SMIM17	1	SMIM17	
JPH3	1	JPH3	
ELAVL4	1	ELAVL4	
CPLX2	1	CPLX2	
GAD2	1	GAD2	
FAXC	1	FAXC	
PCLO	1	PCLO	
PNMA6F	1	PNMA6F	
BEX5	1	BEX5	
FEZF1	1	FEZF1	
SYT13	1	SYT13	
GABRG2	1	GABRG2	
SYN2	1	SYN2	
FXYD7	1	FXYD7	
NRGN	1	NRGN	
GABRA5	1	GABRA5	
CACNA1B	1	CACNA1B	
MAP2	1	MAP2	
RAP1GAP2	1	RAP1GAP2	
RAB3C	1	RAB3C	
CYB561	1	CYB561	
SLC8A1	1	SLC8A1	
ZFPM2	1	ZFPM2	
GRAMD1B	1	GRAMD1B	
CELF4	1	CELF4	
PTPN5	1	PTPN5	
NEXMIF	1	NEXMIF	
TUBA4A	1	TUBA4A	
CHGB	1	CHGB	
MYT1L	1	MYT1L	
KCND2	1	KCND2	
MACROD2	1	MACROD2	
SYT4	1	SYT4	
CDS1	1	CDS1	
SCN3B	1	SCN3B	
CEP170B	1	CEP170B	
MYPOP	1	MYPOP	
EPCAM	1	EPCAM	
GPRASP2	1	GPRASP2	
RUNDC3B	1	RUNDC3B	
CACNA2D1	1	CACNA2D1	
GRM5	1	GRM5	
VSTM2A	1	VSTM2A	
PGM2L1	1	PGM2L1	
STMN2	1	STMN2	
ELOVL4	1	ELOVL4	
ERC2	1	ERC2	
ICA1	1	ICA1	
USP27X	1	USP27X	
SNAP25	1	SNAP25	
LRRC7	1	LRRC7	
MIAT	1	MIAT	
GDAP1L1	1	GDAP1L1	
RHOF	1	RHOF	
FGF14	1	FGF14	
SCN3A	1	SCN3A	
SPTBN2	1	SPTBN2	
ENC1	1	ENC1	
DLK1	1	DLK1	
CALB2	1	CALB2	
PCSK2	1	PCSK2	
CAPRIN2	1	CAPRIN2	
RIMS1	1	RIMS1	
ITPR1	1	ITPR1	
ARHGAP44	1	ARHGAP44	
CDK5R1	1	CDK5R1	
MCF2	1	MCF2	
NSF	1	NSF	
UBR4	1	UBR4	
KCTD16	1	KCTD16	
AKAP12	1	AKAP12	
PCDH19	1	PCDH19	
PLPPR4	1	PLPPR4	
QPCT	1	QPCT	
KCNIP4	1	KCNIP4	
CAMK2N2	1	CAMK2N2	
ACHE	1	ACHE	
EID2B	1	EID2B	
AKR1C2	1	AKR1C2	
DOK6	1	DOK6	
REEP1	1	REEP1	
TMEM63C	1	TMEM63C	
TMEM91	1	TMEM91	
PCSK1	1	PCSK1	
DOC2B	1	DOC2B	
SLC7A10	1	SLC7A10	
NSG2	1	NSG2	
AMPH	1	AMPH	
ZCCHC12	1	ZCCHC12	
TMEM130	1	TMEM130	
NBEA	1	NBEA	
RMST	1	RMST	
PPP3R1	1	PPP3R1	
ATP2B3	1	ATP2B3	
YJEFN3	1	YJEFN3	
TSPOAP1	1	TSPOAP1	
RAB3A	1	RAB3A	
PLCB4	1	PLCB4	
ENTPD3	1	ENTPD3	
GAD1	1	GAD1	
CHD5	1	CHD5	
CHGA	1	CHGA	
RTP5	1	RTP5	
CDH8	1	CDH8	
B4GALT6	1	B4GALT6	
PEG10	1	PEG10	
PRLHR	1	PRLHR	
GAP43	1	GAP43	
NAP1L5	1	NAP1L5	
SCN2A	1	SCN2A	
HYCC2	1	FAM126B	
RUNX1T1	1	RUNX1T1	
PDE4A	1	PDE4A	
ASIC2	1	ASIC2	
SLC9A7	1	SLC9A7	
NOL4	1	NOL4	
LAMP5	1	LAMP5	
PSEN2	1	PSEN2	
MLLT11	1	MLLT11	
SYT5	1	SYT5	
NRIP3	1	NRIP3	
NAPB	1	NAPB	
SYT7	1	SYT7	
SNAP91	1	SNAP91	
TMEM151B	1	TMEM151B	
FNDC9	1	FNDC9	
TRIM32	1	TRIM32	
MYO7A	1	MYO7A	
GABRE	1	GABRE	
SLC8A2	1	SLC8A2	
TOX2	1	TOX2	
NRSN1	1	NRSN1	
TMEM161B	1	TMEM161B	
TRNP1	1	TRNP1	
GLT1D1	1	GLT1D1	
GDPD1	1	GDPD1	
TSPYL5	1	TSPYL5	
ST8SIA4	1	ST8SIA4	
PNMA8B	1	PNMA8B	
ATP10D	1	ATP10D	
FBXW7	1	FBXW7	
STOX2	1	STOX2	
BASP1	1	BASP1	
PEG3	1	PEG3	
ATP8A2	1	ATP8A2	
ADGRB2	1	ADGRB2	
CALB1	1	CALB1	
CSRNP3	1	CSRNP3	
FBLL1	1	FBLL1	
TTC33	1	TTC33	
KCNJ3	1	KCNJ3	
CAMKV	1	CAMKV	
FASTKD1	1	FASTKD1	
NSG1	1	NSG1	
DLG4	1	DLG4	
C1orf216	1	C1orf216	
KCNC4	1	KCNC4	
OPCML	1	OPCML	
ANKRD34B	1	ANKRD34B	
PNMA8C	1	PNMA8C	
SCN9A	1	SCN9A	
ISL1	1	ISL1	
TMEM229B	1	TMEM229B	
MT-CO3	1	MT-CO3	
ARPP21	1	ARPP21	
LYSMD2	1	LYSMD2	
ZC2HC1A	1	ZC2HC1A	
DOCK3	1	DOCK3	
GAL	1	GAL	
SLIT2	1	SLIT2	
GPR135	1	GPR135	
GDA	1	GDA	
FGF12	1	FGF12	
SLC6A17	1	SLC6A17	
GPR162	1	GPR162	
COQ3	1	COQ3	
CDH13	1	CDH13	
SULT4A1	1	SULT4A1	
KIF5A	1	KIF5A	
DCX	1	DCX	
NEFM	1	NEFM	
CDK5R2	1	CDK5R2	
RGS4	1	RGS4	
STRIP1	1	STRIP1	
SLC2A13	1	SLC2A13	
GNG2	1	GNG2	
WNK3	1	WNK3	
CCDC184	1	CCDC184	
SNCB	1	SNCB	
BRINP3	1	BRINP3	
SLC25A14	1	SLC25A14	
DIRAS3	1	DIRAS3	
BEX1	1	BEX1	
MYCBP2	1	MYCBP2	
RIT2	1	RIT2	
SCN1A	1	SCN1A	
NOS1AP	1	NOS1AP	
NUDT11	1	NUDT11	
CAMK1	1	CAMK1	
SLC26A11	1	SLC26A11	
WSCD2	1	WSCD2	
MTARC1	1	MARC1	
RIMKLA	1	RIMKLA	
PLXNA2	1	PLXNA2	
LRRC4	1	LRRC4	
SHISA6	1	SHISA6	
RAPH1	1	RAPH1	
CFAP43	1	CFAP43	
RIMS3	1	RIMS3	
SLC6A15	1	SLC6A15	
HTR2A	1	HTR2A	
LRP8	1	LRP8	
CHST1	1	CHST1	
ZNF441	1	ZNF441	
GAL3ST3	1	GAL3ST3	
NICN1	1	NICN1	
EML6	1	EML6	
PPME1	1	PPME1	
HS6ST3	1	HS6ST3	
FAT3	1	FAT3	
CNR1	1	CNR1	
UBE2O	1	UBE2O	
ADGRB3	1	ADGRB3	
SGPP2	1	SGPP2	
ULK1	1	ULK1	
TRAF2	1	TRAF2	
ITFG1	1	ITFG1	
LEO1	1	LEO1	
NCALD	1	NCALD	
NAP1L2	1	NAP1L2	
NXPH1	1	NXPH1	
HPCAL4	1	HPCAL4	
GABBR2	1	GABBR2	
PRKN	1	PRKN	
GNG4	1	GNG4	
PRICKLE2	1	PRICKLE2	
CARMIL2	1	CARMIL2	
KSR2	1	KSR2	
PDP1	1	PDP1	
SLIT3	1	SLIT3	
CACNB2	1	CACNB2	
HK1	1	HK1	
NHSL2	1	NHSL2	
LMO7	1	LMO7	
DNM1	1	DNM1	
INA	1	INA	
TMEM35A	1	TMEM35A	
GUCY1A1	1	GUCY1A1	
HSPA4L	1	HSPA4L	
PDE3B	1	PDE3B	
AFF3	1	AFF3	
LY6H	1	LY6H	
CYGB	1	CYGB	
CACNB4	1	CACNB4	
NCEH1	1	NCEH1	
AMPD2	1	AMPD2	
NRXN1	1	NRXN1	
ECE2	1	ECE2	
CPNE8	1	CPNE8	
SUSD4	1	SUSD4	
ZNF574	1	ZNF574	
PPP1R13B	1	PPP1R13B	
MGAT4C	1	MGAT4C	
OPRL1	1	OPRL1	
ZNF264	1	ZNF264	
ATCAY	1	ATCAY	
CAMK4	1	CAMK4	
SEZ6	1	SEZ6	
GTF3C4	1	GTF3C4	
NELL2	1	NELL2	
ZNF407	1	ZNF407	
VAT1L	1	VAT1L	
GRIA1	1	GRIA1	
CAPS2	1	CAPS2	
MFSD4A	1	MFSD4A	
TENT5A	1	TENT5A	
MAGEE1	1	MAGEE1	
SLC1A1	1	SLC1A1	
TACC2	1	TACC2	
ANK3	1	ANK3	
SLC25A22	1	SLC25A22	
MAST1	1	MAST1	
SCN4B	1	SCN4B	
STX1B	1	STX1B	
SNAPC4	1	SNAPC4	
DGKH	1	DGKH	
GPR88	1	GPR88	
DNAJB14	1	DNAJB14	
FGF13	1	FGF13	
GRIN1	1	GRIN1	
B4GALNT1	1	B4GALNT1	
