Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to11,Feature log2 fold change topic 3to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,8,-1.7567,18,-1.0826,50,1.12248,92,2.22418
ENSG00000187634,SAMD11,7,-1.9968,20,-0.9769,50,1.07966,92,2.17396
ENSG00000188976,NOC2L,31,-0.7345,47,-0.1147,50,0.06413,92,1.03953
ENSG00000188290,HES4,18,-2.1997,86,0.94853,50,-0.5804,92,0.35520
ENSG00000187608,ISG15,19,-2.6412,59,-1.7643,682,3.61348,92,-0.1844
ENSG00000078808,SDF4,83,-0.0842,92,0.25577,50,-0.8495,92,0.07437
ENSG00000176022,B3GALT6,18,-1.4393,46,0.04812,50,0.14146,92,1.12303
ENSG00000160087,UBE2J2,32,-0.7251,50,-0.0431,50,-0.0165,92,0.95274
ENSG00000131584,ACAP3,65,-0.6497,40,-2.4529,664,3.76462,92,-0.0645
ENSG00000127054,INTS11,55,0.13388,46,-0.4632,50,-0.0266,92,0.94192
ENSG00000224051,CPTP,21,-0.4798,20,-1.1569,50,0.90981,92,1.97712
ENSG00000107404,DVL1,55,0.07643,48,-0.3913,50,-0.0727,92,0.89257
ENSG00000175756,AURKAIP1,104,-0.3769,149,0.76642,50,-1.4371,92,-0.5322
ENSG00000221978,CCNL2,55,0.05403,49,-0.3555,50,-0.1005,92,0.86284
ENSG00000224870,MRPL20-AS1,18,-0.2386,11,-2.0085,50,1.39512,92,2.55064
ENSG00000242485,MRPL20,146,-0.1255,179,0.71907,50,-1.7191,92,-0.8208
ENSG00000235098,ANKRD65,44,0.61532,19,-1.5556,50,0.75643,92,1.80232
ENSG00000179403,VWA1,228,2.46425,34,-2.1128,50,-0.5021,92,0.43745
ENSG00000197785,ATAD3A,11,-1.0394,13,-1.6059,50,1.34569,92,2.49052
ENSG00000205090,TMEM240,5,-2.6357,26,-0.5631,50,0.84570,92,1.90374
ENSG00000160075,SSU72,92,-0.8220,183,1.16316,50,-1.6647,92,-0.7653
ENSG00000228594,FNDC10,7,-3.1337,60,0.62135,50,-0.0995,92,0.86395
ENSG00000272106,AL691432.2,38,-0.0324,32,-0.7742,50,0.40616,92,1.41176
ENSG00000197530,MIB2,23,-0.7099,30,-0.6162,50,0.53943,92,1.55910
ENSG00000189339,SLC35E2B,19,-0.7793,24,-0.9123,50,0.80810,92,1.86092
ENSG00000215790,SLC35E2A,18,-0.7990,23,-0.9583,50,0.84947,92,1.90805
ENSG00000008130,NADK,23,-0.7697,32,-0.5580,50,0.50726,92,1.52340
ENSG00000078369,GNB1,255,-0.3091,371,1.18276,50,-2.7003,92,-1.8172
ENSG00000067606,PRKCZ,79,-1.5639,143,-1.3448,50,-2.1534,1250,3.31849
ENSG00000162585,FAAP20,46,-0.4722,62,0.08758,50,-0.3004,92,0.65023
ENSG00000157933,SKI,46,0.48564,24,-1.2556,50,0.57489,92,1.59854
ENSG00000157916,RER1,93,0.18813,84,0.03318,50,-0.7745,92,0.15238
ENSG00000157911,PEX10,48,0.46892,26,-1.1668,50,0.50318,92,1.51887
ENSG00000149527,PLCH2,35,0.82946,8,-2.6133,50,1.32163,92,2.46141
ENSG00000157881,PANK4,11,-1.1769,16,-1.3282,50,1.19640,92,2.31152
ENSG00000197921,HES5,2,-5.4692,98,1.41379,50,-0.6886,92,0.24203
ENSG00000272449,AL139246.5,1,-5.0465,25,-0.5348,50,0.92637,92,1.99615
ENSG00000157870,PRXL2B,17,-2.8982,70,-1.5122,677,3.41753,92,-0.2801
ENSG00000158109,TPRG1L,43,-1.9756,190,1.73664,50,-1.6416,92,-0.7416
ENSG00000116213,WRAP73,17,-0.6012,16,-1.4226,50,1.13357,92,2.23723
ENSG00000130764,LRRC47,53,-1.4013,92,-1.1552,627,2.86332,92,-0.5023
ENSG00000116198,CEP104,41,0.46990,20,-1.4672,50,0.76384,92,1.81071
ENSG00000198912,C1orf174,21,-0.3779,18,-1.3221,50,1.00025,92,2.08147
ENSG00000196581,AJAP1,23,-0.6544,30,-0.6631,50,0.56229,92,1.58451
ENSG00000069424,KCNAB2,10,-3.0169,89,1.11965,50,-0.5936,92,0.34145
ENSG00000116254,CHD5,4,-4.4081,94,1.32056,50,-0.6487,92,0.28375
ENSG00000116251,RPL22,744,1.12637,400,-0.0252,50,-3.0944,92,-2.2149
ENSG00000116237,ICMT,39,-0.2223,40,-0.4643,50,0.19024,92,1.17588
ENSG00000097021,ACOT7,68,-2.0483,328,2.23474,50,-2.3911,92,-1.5042
ENSG00000162408,NOL9,20,-0.9692,32,-0.5043,50,0.52082,92,1.53843
ENSG00000162413,KLHL21,54,0.43286,33,-0.9091,50,0.26958,92,1.26218
ENSG00000116273,PHF13,17,-0.6354,17,-1.3218,50,1.07358,92,2.16685
ENSG00000041988,THAP3,16,-0.7471,18,-1.2414,50,1.04575,92,2.13436
ENSG00000007923,DNAJC11,21,-0.8267,31,-0.5720,50,0.53786,92,1.55735
