Gene	Ensembl ID
ABCC9	ENSG00000069431
ADAMTS12	ENSG00000151388
ADAMTS16	ENSG00000145536
ADAMTS3	ENSG00000156140
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
AIF1	ENSG00000204472
ALK	ENSG00000171094
ANGPT1	ENSG00000154188
ANK1	ENSG00000029534
ANKRD18A	ENSG00000180071
ANO3	ENSG00000134343
ANXA1	ENSG00000135046
APOE	ENSG00000130203
APP	ENSG00000142192
AQP4	ENSG00000171885
ARHGAP24	ENSG00000138639
ATP2C2	ENSG00000064270
B4GALNT1	ENSG00000135454
BCAN	ENSG00000132692
BRINP3	ENSG00000162670
BTBD11	ENSG00000151136
C1QL3	ENSG00000165985
C1orf162	ENSG00000143110
CALCRL	ENSG00000064989
CAPG	ENSG00000042493
CAPN3	ENSG00000092529
CAV1	ENSG00000105974
CCK	ENSG00000187094
CCL4	ENSG00000275302
CCL5	ENSG00000271503
CCNA1	ENSG00000133101
CCNB2	ENSG00000157456
CD14	ENSG00000170458
CD163	ENSG00000177575
CD2	ENSG00000116824
CD36	ENSG00000135218
CD3G	ENSG00000160654
CD4	ENSG00000010610
CD48	ENSG00000117091
CD52	ENSG00000169442
CD68	ENSG00000129226
CD83	ENSG00000112149
CD86	ENSG00000114013
CDH1	ENSG00000039068
CDH12	ENSG00000154162
CDH4	ENSG00000179242
CDH6	ENSG00000113361
CDK1	ENSG00000170312
CEMIP	ENSG00000103888
CEMIP2	ENSG00000135048
CENPF	ENSG00000117724
CHODL	ENSG00000154645
CLDN11	ENSG00000013297
CNDP1	ENSG00000150656
CNTN2	ENSG00000184144
CNTNAP3B	ENSG00000154529
COL12A1	ENSG00000111799
COL25A1	ENSG00000188517
CORO1A	ENSG00000102879
CRHBP	ENSG00000145708
CRYM	ENSG00000103316
CSPG4	ENSG00000173546
CTNNA3	ENSG00000183230
CTSH	ENSG00000103811
CTSS	ENSG00000163131
CUX2	ENSG00000111249
CX3CR1	ENSG00000168329
CXCL14	ENSG00000145824
CXCR4	ENSG00000121966
CYTIP	ENSG00000115165
DCN	ENSG00000011465
DDR2	ENSG00000162733
DNER	ENSG00000187957
EFHD1	ENSG00000115468
EGFR	ENSG00000146648
ELOVL2	ENSG00000197977
ERBB3	ENSG00000065361
ERMN	ENSG00000136541
EYA4	ENSG00000112319
FASLG	ENSG00000117560
FBLN1	ENSG00000077942
FCER1G	ENSG00000158869
FCGR1A	ENSG00000150337
FCGR3A	ENSG00000203747
FGFR2	ENSG00000066468
FGFR3	ENSG00000068078
FILIP1	ENSG00000118407
FLT1	ENSG00000102755
FSTL4	ENSG00000053108
GAD1	ENSG00000128683
GAD2	ENSG00000136750
GAS2L3	ENSG00000139354
GJA1	ENSG00000152661
GNLY	ENSG00000115523
GPNMB	ENSG00000136235
GPR183	ENSG00000169508
GPR34	ENSG00000171659
GZMA	ENSG00000145649
HES1	ENSG00000114315
HHATL	ENSG00000010282
HILPDA	ENSG00000135245
HLA-DMB	ENSG00000242574
HLA-DQA1	ENSG00000196735
HS3ST2	ENSG00000122254
HS3ST4	ENSG00000182601
HTR2A	ENSG00000102468
HTR2C	ENSG00000147246
IDH1	ENSG00000138413
IDH2	ENSG00000182054
IDO1	ENSG00000131203
IFITM3	ENSG00000142089
IGFBP3	ENSG00000146674
IGFBP4	ENSG00000141753
IGFBP5	ENSG00000115461
IL7R	ENSG00000168685
ITGA8	ENSG00000077943
ITGAM	ENSG00000169896
ITGAX	ENSG00000140678
ITGB2	ENSG00000160255
KCNH5	ENSG00000140015
KIT	ENSG00000157404
KLF2	ENSG00000127528
KLF4	ENSG00000136826
KLK6	ENSG00000167755
KLRB1	ENSG00000111796
LAMA2	ENSG00000196569
LAMP5	ENSG00000125869
LHX6	ENSG00000106852
LOX	ENSG00000113083
LRRK1	ENSG00000154237
LRRK2	ENSG00000188906
LY86	ENSG00000112799
LYPD6	ENSG00000187123
LYPD6B	ENSG00000150556
LYVE1	ENSG00000133800
MAG	ENSG00000105695
MAL	ENSG00000172005
MCTP2	ENSG00000140563
MEIS2	ENSG00000134138
MEPE	ENSG00000152595
MGST1	ENSG00000008394
MKI67	ENSG00000148773
MOBP	ENSG00000168314
MOG	ENSG00000204655
MS4A6A	ENSG00000110077
MYO16	ENSG00000041515
MYO5B	ENSG00000167306
MYRF	ENSG00000124920
NCSTN	ENSG00000162736
NDST4	ENSG00000138653
NES	ENSG00000132688
NKG7	ENSG00000105374
NNAT	ENSG00000053438
NOTCH1	ENSG00000148400
NPFFR2	ENSG00000056291
NPNT	ENSG00000168743
NPY1R	ENSG00000164128
NR2F2	ENSG00000185551
NR4A2	ENSG00000153234
NRP1	ENSG00000099250
NTNG1	ENSG00000162631
NTNG2	ENSG00000196358
NWD2	ENSG00000174145
NXPH2	ENSG00000144227
OLIG1	ENSG00000184221
OLIG2	ENSG00000205927
OPALIN	ENSG00000197430
OTOGL	ENSG00000165899
P2RY12	ENSG00000169313
P2RY13	ENSG00000181631
PAX6	ENSG00000007372
PCNA	ENSG00000132646
PCSK1	ENSG00000175426
PCSK6	ENSG00000140479
PDGFD	ENSG00000170962
PDGFRA	ENSG00000134853
PECAM1	ENSG00000261371
PHLDB2	ENSG00000144824
PLCE1	ENSG00000138193
PLCH1	ENSG00000114805
PLD5	ENSG00000180287
POSTN	ENSG00000133110
POU6F2	ENSG00000106536
PROX1	ENSG00000117707
PSEN1	ENSG00000080815
PSEN2	ENSG00000143801
PSENEN	ENSG00000205155
PTCHD4	ENSG00000244694
PTPRC	ENSG00000081237
PTPRZ1	ENSG00000106278
PVALB	ENSG00000100362
RASGRP1	ENSG00000172575
RELN	ENSG00000189056
RFTN1	ENSG00000131378
RGS10	ENSG00000148908
RGS16	ENSG00000143333
RIT2	ENSG00000152214
RNASET2	ENSG00000026297
RNF144B	ENSG00000137393
RORB	ENSG00000198963
ROS1	ENSG00000047936
RSPO2	ENSG00000147655
RXFP1	ENSG00000171509
RYR3	ENSG00000198838
S100A4	ENSG00000196154
SAMD5	ENSG00000203727
SDK1	ENSG00000146555
SEMA5A	ENSG00000112902
SERPINA3	ENSG00000196136
SFRP2	ENSG00000145423
SLC17A6	ENSG00000091664
SLC17A7	ENSG00000104888
SLC24A3	ENSG00000185052
SLC26A4	ENSG00000091137
SLIT3	ENSG00000184347
SNCG	ENSG00000173267
SNTB2	ENSG00000168807
SORCS1	ENSG00000108018
SOX10	ENSG00000100146
SOX11	ENSG00000176887
SOX2	ENSG00000181449
SOX4	ENSG00000124766
SOX9	ENSG00000125398
SPHKAP	ENSG00000153820
