variable	gene	human_ensg	value
Nr5a1_5	Tslp	ENSG00000145777	23.6818617562241
Nr5a1_5	Gapt	ENSG00000175857	9.14680885094464
Nr5a1_5	Tyrp1	ENSG00000107165	9.07078991050783
Nr5a1_5	Pik3cg	ENSG00000105851	7.69577060521993
Nr5a1_5	Endou	ENSG00000111405	7.47280428702205
Dlk1_1	Ddr2	ENSG00000162733	9.68470747188807
Dlk1_1	1700017N19Rik	ENSG00000165805	8.80702327379977
Dlk1_1	Trim21	ENSG00000132109	8.46350978435179
Dlk1_1	Clec1b	ENSG00000165682	7.73749221849861
Dlk1_1	Dkk2	ENSG00000155011	6.71836644260242
Dlk1_2	Dkk1	ENSG00000107984	8.79281531808854
Dlk1_2	Cps1	ENSG00000021826	5.68414862129538
Dlk1_2	Slc14a1	ENSG00000141469	5.02128041627101
Dlk1_2	Cpb1	ENSG00000153002	4.96589298907341
Dlk1_2	C5ar2	ENSG00000134830	4.92710131933709
Nr5a1_Foxp2_1	Prdm13	ENSG00000112238	130.989806856728
Nr5a1_Foxp2_1	Exph5	ENSG00000110723	13.2026520828072
Nr5a1_Foxp2_1	Dcn	ENSG00000011465	11.5479846450779
Nr5a1_Foxp2_1	Col6a1	ENSG00000142156	10.7207619382603
Nr5a1_Foxp2_1	Irak3	ENSG00000090376	9.61569469910711
Nr5a1_3	Asb9	ENSG00000102048	8.49363463991814
Nr5a1_3	Cdx1	ENSG00000113722	7.94297408534172
Nr5a1_3	Bpi	ENSG00000101425	7.09180248960751
Nr5a1_3	Defb30	ENSG00000205883	6.32213270968519
Nr5a1_3	Cryba2	ENSG00000163499	5.67831960655188
