peak	clusts	gene	human_ensg	value
a	sfishFig2clusts_2_23_3_5	Foxp2	ENSG00000128573	14.7173893704856
a	sfishFig2clusts_2_23_3_5	Rbp1	ENSG00000114115	13.0323327848621
a	sfishFig2clusts_2_23_3_5	Pthlh	ENSG00000087494	11.6008687022682
a	sfishFig2clusts_2_23_3_5	Tcf7l2	ENSG00000148737	10.1431011297193
a	sfishFig2clusts_2_23_3_5	Akap7	ENSG00000118507	9.58547222741905
c	sfishFig2clusts_10_19_21_24_26	Ngf	ENSG00000134259	7.1934732075851
c	sfishFig2clusts_10_19_21_24_26	Kitl	ENSG00000049130	6.97006160367148
c	sfishFig2clusts_10_19_21_24_26	Il1rapl2	ENSG00000189108	6.41125786272153
c	sfishFig2clusts_10_19_21_24_26	Pou3f2	ENSG00000184486	5.99147826364927
c	sfishFig2clusts_10_19_21_24_26	Igf1	ENSG00000017427	5.77297204964697
d	sfishFig2clusts_20_22_25_7	Cck	ENSG00000187094	8.42887938834131
d	sfishFig2clusts_20_22_25_7	Gpr174	ENSG00000147138	8.30260298908948
d	sfishFig2clusts_20_22_25_7	Angpt2	ENSG00000091879	8.29403711595717
d	sfishFig2clusts_20_22_25_7	Insm2	ENSG00000168348	7.24147436532277
d	sfishFig2clusts_20_22_25_7	AI593442	ENSG00000185742	7.23879548968974
e	sfishFig2clusts_12_13_16_17	Arhgap36	ENSG00000147256	7.48959187987731
e	sfishFig2clusts_12_13_16_17	Sez6	ENSG00000063015	7.24030578939078
e	sfishFig2clusts_12_13_16_17	Plekhb1	ENSG00000021300	6.34728518914498
e	sfishFig2clusts_12_13_16_17	Fabp3	ENSG00000121769	6.19753409491137
e	sfishFig2clusts_12_13_16_17	Chst2	ENSG00000175040	6.05051933970509
ff	sfishFig2clusts_11_14_15_18_27_8_6	Kcnh8	ENSG00000183960	9.71294089776094
ff	sfishFig2clusts_11_14_15_18_27_8_6	Serpinf1	ENSG00000132386	7.37559279583011
ff	sfishFig2clusts_11_14_15_18_27_8_6	Itgb6	ENSG00000115221	7.37453076358926
ff	sfishFig2clusts_11_14_15_18_27_8_6	Sostdc1	ENSG00000171243	7.35825825209941
ff	sfishFig2clusts_11_14_15_18_27_8_6	Angpt1	ENSG00000154188	7.28015615966663
