hgnc_symbol	ensembl_gene_id
A3GALT2	ENSG00000184389
AAK1	ENSG00000115977
AAMP	ENSG00000127837
ABCA12	ENSG00000144452
ABCA4	ENSG00000198691
ABCB10	ENSG00000135776
ABCB11	ENSG00000073734
ABCB6	ENSG00000115657
ABCD3	ENSG00000117528
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
ABHD1	ENSG00000143994
ABHD5	ENSG00000011198
ABI2	ENSG00000138443
ABL2	ENSG00000143322
ACAA1	ENSG00000060971
ACADL	ENSG00000115361
ACADM	ENSG00000117054
ACAP3	ENSG00000131584
ACBD3	ENSG00000182827
ACBD3-AS1	ENSG00000234478
ACBD6	ENSG00000230124
ACKR1	ENSG00000213088
ACKR2	ENSG00000144648
ACKR3	ENSG00000144476
ACMSD	ENSG00000153086
ACOT11	ENSG00000162390
ACOT7	ENSG00000097021
ACOXL	ENSG00000153093
ACOXL-AS1	ENSG00000204581
ACP1	ENSG00000143727
ACP6	ENSG00000162836
ACSL3	ENSG00000123983
ACTA1	ENSG00000143632
ACTG2	ENSG00000163017
ACTL8	ENSG00000117148
ACTN2	ENSG00000077522
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACVR1	ENSG00000115170
ACVR1C	ENSG00000123612
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVR2B-AS1	ENSG00000229589
ACYP2	ENSG00000170634
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM23	ENSG00000114948
ADAMTS4	ENSG00000158859
ADAMTSL4	ENSG00000143382
ADAMTSL4-AS1	ENSG00000203804
ADAR	ENSG00000160710
ADCY10	ENSG00000143199
ADCY3	ENSG00000138031
ADD2	ENSG00000075340
ADGRB2	ENSG00000121753
ADGRF3	ENSG00000173567
ADGRL2	ENSG00000117114
ADGRL4	ENSG00000162618
ADI1	ENSG00000182551
ADIPOR1	ENSG00000159346
ADORA1	ENSG00000163485
ADRA2B	ENSG00000274286
ADSS1	ENSG00000185100
AFF3	ENSG00000144218
AFTPH	ENSG00000119844
AGAP1	ENSG00000157985
AGBL4	ENSG00000186094
AGBL4-IT1	ENSG00000225623
AGBL5	ENSG00000084693
AGBL5-AS1	ENSG00000231636
AGFG1	ENSG00000173744
AGL	ENSG00000162688
AGMAT	ENSG00000116771
AGO1	ENSG00000092847
AGO3	ENSG00000126070
AGO4	ENSG00000134698
AGPS	ENSG00000018510
AGRN	ENSG00000188157
AGT	ENSG00000135744
AGTRAP	ENSG00000177674
AHCTF1	ENSG00000153207
AHCYL1	ENSG00000168710
AHDC1	ENSG00000126705
AIDA	ENSG00000186063
AIM2	ENSG00000163568
AJAP1	ENSG00000196581
AK2	ENSG00000004455
AK4	ENSG00000162433
AK5	ENSG00000154027
AKIRIN1	ENSG00000174574
AKNAD1	ENSG00000162641
AKR1A1	ENSG00000117448
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKT3	ENSG00000117020
AKT3-IT1	ENSG00000228939
ALDH4A1	ENSG00000159423
ALDH9A1	ENSG00000143149
ALG14	ENSG00000172339
ALG6	ENSG00000088035
ALK	ENSG00000171094
ALKAL2	ENSG00000189292
ALLC	ENSG00000151360
ALMS1	ENSG00000116127
ALMS1-IT1	ENSG00000230002
ALPL	ENSG00000162551
ALS2	ENSG00000003393
ALS2CL	ENSG00000178038
AMER3	ENSG00000178171
AMIGO1	ENSG00000181754
AMMECR1L	ENSG00000144233
AMPD2	ENSG00000116337
AMY2A	ENSG00000243480
AMY2B	ENSG00000240038
ANAPC1	ENSG00000153107
ANGEL2	ENSG00000174606
ANGPTL1	ENSG00000116194
ANGPTL7	ENSG00000171819
ANKAR	ENSG00000151687
ANKMY1	ENSG00000144504
ANKRD13C	ENSG00000118454
ANKRD23	ENSG00000163126
ANKRD28	ENSG00000206560
ANKRD30BL	ENSG00000163046
ANKRD34A	ENSG00000272031
ANKRD35	ENSG00000198483
ANKRD36	ENSG00000135976
ANKRD36B	ENSG00000196912
ANKRD36C	ENSG00000174501
ANKRD39	ENSG00000213337
ANKRD44	ENSG00000065413
ANKRD44-IT1	ENSG00000236977
ANKRD45	ENSG00000183831
ANKRD53	ENSG00000144031
