input_number	input	input_ensg	ensg_number	ortholog_name	ortholog_ensg	description
10	0610010K14Rik	ENSMUSG00000020831	10.1.1	C17orf49	ENSG00000258315	chromosome 17 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28737]
14	0610030E20Rik	ENSMUSG00000058706	14.1.1	C2orf68	ENSG00000168887	chromosome 2 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:34353]
22	0610040J01Rik	ENSMUSG00000060512	22.1.1	C4orf19	ENSG00000154274	chromosome 4 open reading frame 19 [Source:HGNC Symbol;Acc:HGNC:25618]
31	1110004F10Rik	ENSMUSG00000030663	31.1.1	C11orf58	ENSG00000110696	chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]
39	1110017D15Rik	ENSMUSG00000028441	39.1.1	SPMIP6	ENSG00000164972	sperm microtubule inner protein 6 [Source:HGNC Symbol;Acc:HGNC:19919]
46	1110032F04Rik	ENSMUSG00000046999	46.1.1	C3orf80	ENSG00000180044	chromosome 3 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:40048]
51	1110038F14Rik	ENSMUSG00000063236	51.1.1	C8orf33	ENSG00000182307	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]
58	1110059E24Rik	ENSMUSG00000035171	58.1.1	C9orf85	ENSG00000155621	chromosome 9 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:28784]
59	1110059G10Rik	ENSMUSG00000032551	59.1.1	KIAA1143	ENSG00000163807	KIAA1143 [Source:HGNC Symbol;Acc:HGNC:29198]
60	1110065P20Rik	ENSMUSG00000078570	60.1.1	C1orf122	ENSG00000197982	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]
64	1190005I06Rik	ENSMUSG00000043687	64.1.1	C16orf74	ENSG00000154102	chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]
73	1500009L16Rik	ENSMUSG00000087651	73.1.1	C12orf75	ENSG00000235162	chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]
89	1600012H06Rik	ENSMUSG00000050088	89.1.1	C6orf120	ENSG00000185127	chromosome 6 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:21247]
90	1600014C10Rik	ENSMUSG00000054676	90.1.1	C19orf12	ENSG00000131943	chromosome 19 open reading frame 12 [Source:HGNC Symbol;Acc:HGNC:25443]
102	1700001C19Rik	ENSMUSG00000047150	102.1.1	CIMIP3	ENSG00000287363	ciliary microtubule inner protein 3 [Source:HGNC Symbol;Acc:HGNC:55126]
114	1700001O22Rik	ENSMUSG00000044320	114.1.1	C9orf50	ENSG00000179058	chromosome 9 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:23677]
118	1700003E16Rik	ENSMUSG00000030030	118.1.1	C2orf81	ENSG00000284308	chromosome 2 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:34350]
119	1700003F12Rik	ENSMUSG00000038523	119.1.1	C20orf144	ENSG00000149609	chromosome 20 open reading frame 144 [Source:HGNC Symbol;Acc:HGNC:16137]
146	1700008O03Rik	ENSMUSG00000008028	146.1.1	C19orf81	ENSG00000235034	chromosome 19 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:40041]
155	1700010I14Rik	ENSMUSG00000023873	155.1.1	C6orf118	ENSG00000112539	chromosome 6 open reading frame 118 [Source:HGNC Symbol;Acc:HGNC:21233]
170	1700012B09Rik	ENSMUSG00000031927	170.1.1	C11orf97	ENSG00000257057	chromosome 11 open reading frame 97 [Source:HGNC Symbol;Acc:HGNC:49544]
172	1700012D01Rik	ENSMUSG00000040195	172.1.1	NEMP1	ENSG00000166881	nuclear envelope integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29001]
195	1700016H13Rik	ENSMUSG00000029320	195.1.1	C4orf36	ENSG00000163633	chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:28386]
200	1700017B05Rik	ENSMUSG00000032300	200.1.1	C15orf39	ENSG00000167173	chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]
206	1700017N19Rik	ENSMUSG00000056912	206.1.1	C12orf50	ENSG00000165805	chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26665]
209	1700018B08Rik	ENSMUSG00000031809	209.1.1	C16orf95	ENSG00000260456	chromosome 16 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:40033]
217	1700019D03Rik	ENSMUSG00000043629	217.1.1	C2orf88	ENSG00000187699	chromosome 2 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:28191]
224	1700019N19Rik	ENSMUSG00000026931	224.1.1	SPMIP5	ENSG00000165863	sperm microtubule inner protein 5 [Source:HGNC Symbol;Acc:HGNC:28500]
232	1700020L24Rik	ENSMUSG00000035085	232.1.1	C17orf50	ENSG00000270806	chromosome 17 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:29581]
248	1700022I11Rik	ENSMUSG00000028451	248.1.1	SPATA31G1	ENSG00000174038	SPATA31 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:31418]
259	1700024G13Rik	ENSMUSG00000072473	259.1.1	C10orf53	ENSG00000178645	chromosome 10 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:27421]
268	1700025G04Rik	ENSMUSG00000032666	268.1.1	C1orf21	ENSG00000116667	chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494]
295	1700029H14Rik	ENSMUSG00000031452	295.1.1	C13orf46	ENSG00000283199	chromosome 13 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:53786]
298	1700029J07Rik	ENSMUSG00000071103	298.1.1	CFAP96	ENSG00000205129	cilia and flagella associated protein 96 [Source:HGNC Symbol;Acc:HGNC:34346]
307	1700030J22Rik	ENSMUSG00000031847	307.1.1	C16orf46	ENSG00000166455	chromosome 16 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:26525]
308	1700030K09Rik	ENSMUSG00000052794	308.1.1	C19orf44	ENSG00000105072	chromosome 19 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:26141]
319	1700034E13Rik	ENSMUSG00000024532	319.1.1	ZNF475	ENSG00000250803	zinc finger protein 475 [Source:HGNC Symbol;Acc:HGNC:53564]
323	1700034J05Rik	ENSMUSG00000040163	323.1.1	C12orf71	ENSG00000214700	chromosome 12 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:34452]
405	1700066M21Rik	ENSMUSG00000038323	405.1.1	C2orf69	ENSG00000178074	chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]
409	1700067K01Rik	ENSMUSG00000046408	409.1.1	C19orf67	ENSG00000188032	chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354]
439	1700088E04Rik	ENSMUSG00000033029	439.1.1	C22orf23	ENSG00000128346	chromosome 22 open reading frame 23 [Source:HGNC Symbol;Acc:HGNC:18589]
446	1700093K21Rik	ENSMUSG00000020286	446.1.1	C2orf74	ENSG00000237651	chromosome 2 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:34439]
467	1700102P08Rik	ENSMUSG00000032611	467.1.1	C3orf62	ENSG00000188315	chromosome 3 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:24771]
493	1700113H08Rik	ENSMUSG00000047129	493.1.1	C12orf42	ENSG00000179088	chromosome 12 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:24729]
512	1700123O20Rik	ENSMUSG00000040822	512.1.1	C14orf119	ENSG00000179933	chromosome 14 open reading frame 119 [Source:HGNC Symbol;Acc:HGNC:20270]
529	1810009A15Rik	ENSMUSG00000071653	529.1.1	C11orf98	ENSG00000278615	chromosome 11 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:51238]
531	1810010H24Rik	ENSMUSG00000078607	531.1.1	C17orf58	ENSG00000186665	chromosome 17 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:27568]
550	1810030O07Rik	ENSMUSG00000044148	550.1.1	CXorf38	ENSG00000185753	chromosome X open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28589]
553	1810037I17Rik	ENSMUSG00000054091	553.1.1	C4orf3	ENSG00000164096	chromosome 4 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:19225]
561	1810055G02Rik	ENSMUSG00000035372	561.1.1	C11orf24	ENSG00000171067	chromosome 11 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:1174]
573	2010003K11Rik	ENSMUSG00000042041	573.1.1	C11orf86	ENSG00000173237	chromosome 11 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:34442]
597	2200002D01Rik	ENSMUSG00000030587	597.1.1	C19orf33	ENSG00000167644	chromosome 19 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:16668]
605	2210016L21Rik	ENSMUSG00000029559	605.1.1	C12orf43	ENSG00000157895	chromosome 12 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25719]
