gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank	n_naSamps
ENSG00000001630	CYP51A1	NA	NA	NA	192	NA	NA	NA	NA	192	7
ENSG00000005486	RHBDD2	NA	NA	NA	NA	NA	NA	37	NA	37	7
ENSG00000006118	TMEM132A	72	NA	NA	NA	NA	NA	NA	NA	72	7
ENSG00000006128	TAC1	11	142	23	91	77	NA	NA	NA	68.8	3
ENSG00000006210	CX3CL1	107	NA	NA	NA	NA	NA	NA	NA	107	7
ENSG00000007516	BAIAP3	NA	NA	NA	NA	NA	NA	NA	61	61	7
ENSG00000008056	SYN1	NA	NA	NA	NA	NA	NA	82	NA	82	7
ENSG00000008988	RPS20	NA	236	NA	NA	NA	NA	NA	NA	236	7
ENSG00000010404	IDS	61	NA	NA	227	170	NA	NA	NA	152.666666666667	5
ENSG00000011465	DCN	NA	40	NA	NA	70	NA	NA	NA	55	6
ENSG00000014641	MDH1	NA	158	NA	NA	NA	NA	52	NA	105	6
ENSG00000015171	ZMYND11	134	NA	NA	NA	NA	NA	NA	NA	134	7
ENSG00000015592	STMN4	NA	165	NA	NA	NA	NA	NA	NA	165	7
ENSG00000018236	CNTN1	NA	NA	NA	158	NA	NA	NA	NA	158	7
ENSG00000018625	ATP1A2	NA	248	NA	126	NA	NA	NA	NA	187	6
ENSG00000019582	CD74	NA	226	NA	NA	293	NA	72	NA	197	5
ENSG00000022355	GABRA1	NA	184	NA	107	191	NA	NA	NA	160.666666666667	5
ENSG00000026025	VIM	169	67	69	NA	NA	NA	NA	NA	101.666666666667	5
ENSG00000031698	SARS	81	NA	NA	NA	NA	NA	NA	NA	81	7
ENSG00000034510	TMSB10	17	35	12	17	229	NA	22	57	55.5714285714286	1
ENSG00000035862	TIMP2	NA	NA	32	159	NA	NA	NA	NA	95.5	6
ENSG00000036530	CYP46A1	NA	NA	NA	NA	286	NA	NA	NA	286	7
ENSG00000037241	RPL26L1	NA	NA	NA	NA	NA	NA	57	NA	57	7
ENSG00000043093	DCUN1D1	191	NA	NA	NA	NA	NA	NA	NA	191	7
ENSG00000043355	ZIC2	NA	NA	NA	NA	NA	3	NA	NA	3	7
ENSG00000046653	GPM6B	NA	NA	NA	121	NA	NA	NA	NA	121	7
ENSG00000047648	ARHGAP6	NA	NA	NA	NA	178	NA	NA	NA	178	7
ENSG00000048392	RRM2B	NA	NA	NA	NA	281	NA	NA	NA	281	7
ENSG00000048540	LMO3	NA	NA	NA	200	NA	15	NA	NA	107.5	6
ENSG00000049656	CLPTM1L	144	NA	NA	NA	NA	NA	NA	NA	144	7
ENSG00000050165	DKK3	NA	NA	NA	NA	230	NA	NA	NA	230	7
ENSG00000053438	NNAT	55	NA	NA	NA	NA	NA	NA	NA	55	7
ENSG00000054356	PTPRN	143	NA	NA	291	NA	NA	NA	NA	217	6
ENSG00000054793	ATP9A	NA	NA	NA	292	NA	NA	NA	NA	292	7
ENSG00000054803	CBLN4	NA	179	NA	87	NA	NA	NA	62	109.333333333333	5
ENSG00000055609	KMT2C	NA	NA	NA	NA	245	NA	NA	NA	245	7
ENSG00000058668	ATP2B4	181	NA	NA	NA	NA	NA	NA	NA	181	7
ENSG00000059122	FLYWCH1	NA	NA	NA	NA	231	NA	NA	NA	231	7
ENSG00000059758	CDK17	117	NA	NA	NA	NA	NA	NA	NA	117	7
ENSG00000063177	RPL18	101	243	NA	NA	97	NA	NA	NA	147	5
ENSG00000063322	MED29	NA	NA	NA	NA	268	NA	NA	NA	268	7
ENSG00000064787	BCAS1	NA	139	NA	NA	NA	NA	NA	NA	139	7
ENSG00000065154	OAT	NA	NA	NA	NA	184	NA	NA	NA	184	7
ENSG00000065518	NDUFB4	NA	214	NA	NA	NA	NA	NA	NA	214	7
ENSG00000067715	SYT1	NA	NA	NA	NA	152	NA	NA	NA	152	7
ENSG00000068831	RASGRP2	NA	NA	NA	246	NA	NA	NA	NA	246	7
ENSG00000069345	DNAJA2	NA	NA	NA	161	NA	NA	NA	NA	161	7
ENSG00000069482	GAL	NA	12	61	7	25	NA	16	22	23.8333333333333	2
ENSG00000069849	ATP1B3	NA	NA	NA	131	NA	NA	NA	NA	131	7
ENSG00000070061	ELP1	NA	NA	NA	NA	235	NA	NA	NA	235	7
ENSG00000070729	CNGB1	131	NA	NA	NA	NA	NA	NA	NA	131	7
