NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HCRT	1	HCRT	
POMC	1	POMC	
SST	1	SST	
GABRE	1	GABRE	
PRDM12	1	PRDM12	
PRDM13	1	PRDM13	
SLC18A3	1	SLC18A3	
NPY	1	NPY	
SHISAL2B	1	SHISAL2B	
HDC	1	HDC	
GHRH	1	GHRH	
AGRP	1	AGRP	
AVIL	1	AVIL	
GABRQ	1	GABRQ	
ADCYAP1	1	ADCYAP1	
PROKR1	1	PROKR1	
GPR101	1	GPR101	
GZMB	1	GZMB	
LINC01615	1	LINC01615	
MCTP2	1	MCTP2	
TMEM233	1	TMEM233	
MIR7-3HG	1	MIR7-3HG	
GRP	1	GRP	
BDNF	1	BDNF	
ISL1	1	ISL1	
NPY1R	1	NPY1R	
VGF	1	VGF	
NR5A1	1	NR5A1	
PTGER3	1	PTGER3	
ANKRD34B	1	ANKRD34B	
CALCR	1	CALCR	
LINC00886	1	LINC00886	
PCOLCE2	1	PCOLCE2	
SOX14	1	SOX14	
GSX1	1	GSX1	
HMX3	1	HMX3	
NHLH2	1	NHLH2	
GPR149	1	GPR149	
PWWP3B	1	PWWP3B	
PNOC	1	PNOC	
SLC10A4	1	SLC10A4	
RSPO3	1	RSPO3	
GAL	1	GAL	
RASGRP1	1	RASGRP1	
RBP4	1	RBP4	
PMCH	1	PMCH	
PDYN	1	PDYN	
SV2C	1	SV2C	
LINC01166	1	LINC01166	
DLK1	1	DLK1	
TMOD1	1	TMOD1	
HPGD	1	HPGD	
PTGER1	1	PTGER1	
NOS1	1	NOS1	
PRSS56	1	PRSS56	
PRSS3	1	PRSS3	
HS3ST4	1	HS3ST4	
FNDC9	1	FNDC9	
MSANTD1	1	MSANTD1	
LHX9	1	LHX9	
PRMT8	1	PRMT8	
CYP26B1	1	CYP26B1	
SLC18A2	1	SLC18A2	
FST	1	FST	
SYNDIG1L	1	SYNDIG1L	
SCG2	1	SCG2	
CALCB	1	CALCB	
SCGB3A1	1	SCGB3A1	
NR5A2	1	NR5A2	
CITED1	1	CITED1	
EID3	1	EID3	
AGMAT	1	AGMAT	
ZCCHC12	1	ZCCHC12	
WIF1	1	WIF1	
UTS2	1	UTS2	
CHAC1	1	CHAC1	
LINC01018	1	LINC01018	
C3orf80	1	C3orf80	
ZFHX4-AS1	1	ZFHX4-AS1	
RTL9	1	RTL9	
OTP	1	OTP	
SDC1	1	SDC1	
ADRB1	1	ADRB1	
ECEL1	1	ECEL1	
SDR16C5	1	SDR16C5	
SHISAL2A	1	SHISAL2A	
TBX3	1	TBX3	
FAM240C	1	FAM240C	
ACVR1C	1	ACVR1C	
ACTA1	1	ACTA1	
KCNJ5	1	KCNJ5	
C11orf87	1	C11orf87	
ST6GALNAC5	1	ST6GALNAC5	
LINC01630	1	LINC01630	
CRYGD	1	CRYGD	
DDN	1	DDN	
TMEM45B	1	TMEM45B	
KCNS3	1	KCNS3	
PRRG4	1	PRRG4	
LINC02440	1	LINC02440	
HAR1A	1	HAR1A	
PTPN20	1	PTPN20	
MAPT-IT1	1	MAPT-IT1	
NUPR2	1	NUPR2	
CDH12	1	CDH12	
ACTC1	1	ACTC1	
BHLHE22	1	BHLHE22	
KCNQ5	1	KCNQ5	
TMEM275	1	TMEM275	
GDA	1	GDA	
KISS1	1	KISS1	
SLC32A1	1	SLC32A1	
CHRM2	1	CHRM2	
PTX3	1	PTX3	
FGF17	1	FGF17	
RTBDN	1	RTBDN	
SP9	1	SP9	
ELMO3	1	ELMO3	
DACH2	1	DACH2	
BCL11B	1	BCL11B	
C10orf82	1	C10orf82	
CDC25A	1	CDC25A	
KCTD8	1	KCTD8	
CORO2A	1	CORO2A	
