ensg	z	p	f	g	d	meth	c	t	misc
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_indep_gwassnp_p1e-5_only_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_cis_eQTLs:CMC_NoSVA_cis:Promoter_anchored_loops
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	eQTLGen_eQTLGen_cis_eQTLs
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	CMC_CMC_NoSVA_cis
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	PsychENCODE_Promoter_anchored_loops
ENSG00000071967	NA	NA	NA	CYBRD1	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	PsychENCODE_Promoter_anchored_loops
ENSG00000077380	NA	NA	NA	DYNC1I2	Panic	FUMAgenemapping_indep_gwassnp_p1e-5_only_BJM	ForstnerAwasthi19	FUMA_internal	Neural_Progenitor_Cell
ENSG00000077380	NA	NA	NA	DYNC1I2	Panic	FUMAgenemapping_gwassnp_p1e-5_or_LD-R0.6partner_BJM	ForstnerAwasthi19	FUMA_internal	GSE87112_Neural_Progenitor_Cell
