ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000154305	MIA3	1	222791428	222841354	1	protein_coding	375056	MIA3	0.47138810555393	-0.616197151	0	NA	NA	NA	NA	Yes	EP_correlation_cell_type_oneway	2.105e-05	rs115520148;rs75505205;rs79918695;rs139247870;rs80290720;rs61746477;rs115507625;rs75787943;rs115054736;rs79424479;rs76062517;rs114583513;rs74795221;rs79038521	1
ENSG00000154309	DISP1	1	222988406	223179337	1	protein_coding	84976	DISP1	4.23342758464293e-06	-0.23613449	18	4.2018e-16	0	eQTLGen_cis_eQTLs	-	No	NA	6.825e-07	rs115520148;rs75505205;rs79918695;rs139247870;rs80290720;rs61746477;rs115507625;rs75787943;rs115054736;rs79424479;rs76062517;rs114583513;rs74795221;rs79038521	1
ENSG00000071967	CYBRD1	2	172378757	172414643	1	protein_coding	79901	CYBRD1	0.351788246409073	2.291223031	10	3.7492e-21	0	eQTLGen_cis_eQTLs:CMC_NoSVA_cis	+	Yes	Promoter_anchored_loops	9.208e-06	rs3098974;rs13390848;rs62183854	3
ENSG00000077380	DYNC1I2	2	172543919	172604930	1	protein_coding	1781	DYNC1I2	5.18719626749822e-07	-0.29878757	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	9.208e-06	rs3098974;rs13390848;rs62183854:rs62183854	3
ENSG00000268821	AC068039.1	2	172560844	172567314	-1	protein_coding	NA	NA	NA	NA	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Neural_Progenitor_Cell	9.208e-06	rs3098974;rs13390848;rs62183854:rs62183854	3
ENSG00000115840	SLC25A12	2	172640880	172864766	-1	protein_coding	8604	SLC25A12	0.887050481777341	0.218724854	7	6.96648e-07	9.61394019375371e-05	PsychENCODE_eQTLs:CMC_SVA_cis	-	No	NA	9.208e-06	rs3098974;rs13390848;rs62183854	3
ENSG00000128708	HAT1	2	172778958	172848599	1	protein_coding	8520	HAT1	0.839884792256617	-0.630613715	5	NA	0.049	CMC_NoSVA_cis	+	No	NA	9.6e-06	rs3098974;rs13390848;rs62183854	3
ENSG00000163638	ADAMTS9	3	64501333	64673676	-1	protein_coding	56999	ADAMTS9	4.22655241635146e-07	0.433544888	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	7.301e-06	rs1842804	4
ENSG00000183770	FOXL2	3	138663066	138665982	-1	protein_coding	668	FOXL2	NA	-0.760660692	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.732e-06	rs62270786	5
ENSG00000206262	C3orf72	3	138666076	138672293	1	protein_coding	401089	C3orf72	0.0934370542464938	0.669830103	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.732e-06	rs62270786	5
ENSG00000164151	KIAA0947	5	5420777	5490347	1	protein_coding	23379	KIAA0947	0.999997609908876	-0.420097044	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	3.228e-06	rs72737735	6
ENSG00000106868	SUSD1	9	114803065	114937688	-1	protein_coding	64420	SUSD1	8.56399035687766e-09	0.156212414	3	5.2315e-57	0	eQTLGen_cis_eQTLs	+	No	NA	5.998e-07	rs41280169	9
ENSG00000119314	PTBP3	9	114980715	115095947	-1	protein_coding	9991	PTBP3	0.978776733356337	-1.272877055	3	9.8003e-11	0	eQTLGen_cis_eQTLs	-	No	NA	5.998e-07	rs41280169	9
ENSG00000148153	INIP	9	115446206	115480516	-1	protein_coding	58493	INIP	0.017451553253115	-0.430292447	1	9.5908e-06	0.0271856216151878	eQTLGen_cis_eQTLs	-	No	NA	3.239e-05	rs41280169	9
ENSG00000087470	DNM1L	12	32832134	32898486	1	protein_coding	10059	DNM1L	0.176947821562628	0.385189128	2	1.1798e-07	0.000395108184383819	eQTLGen_cis_eQTLs	-	No	NA	0.0006995	rs1912779	12
ENSG00000110975	SYT10	12	33527173	33592754	-1	protein_coding	341359	SYT10	0.123246845459562	0.80269711	4	8.10859e-06	0.00290103	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	-	No	NA	1.974e-05	rs1912779	12
ENSG00000118946	PCDH17	13	58205944	58303445	1	protein_coding	27253	PCDH17	0.960498313002076	-1.409439089	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	5.113e-06	rs4884321;rs4886127	14
ENSG00000185551	NR2F2	15	96869167	96883492	1	protein_coding	7026	NR2F2	0.916704230117823	-1.83971077	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	8.493e-06	rs7176899	15
ENSG00000268484	AC087477.1	15	96904487	96904900	1	protein_coding	NA	NA	NA	NA	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Neural_Progenitor_Cell	8.493e-06	rs7176899	15
