annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	1	0.00347222222222222	0.364879453257681	0.534516024393847
UTR5	46406	0.00284084213467316	1	0.00347222222222222	1.22225102896177	0.55927495715161
downstream	184076	0.0112686044214562	5	0.0173611111111111	1.54066204312349	0.264977239373652
exonic	157410	0.00963618843293758	1	0.00347222222222222	0.360331498951782	0.536153460184714
intergenic	7340829	0.449384483183869	120	0.416666666666667	0.927194156136861	0.286372170387106
intronic	6228556	0.38129432234994	155	0.538194444444444	1.41149346554	7.47216939796678e-08
ncRNA_exonic	164533	0.0100722380499112	0	0	0	0.127422078132127
ncRNA_intronic	1884461	0.115361294012591	4	0.0138888888888889	0.120394704374355	6.75640550962884e-11
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	0	0	0	1
upstream	171164	0.0104781688389259	1	0.00347222222222222	0.331376815510271	0.381791919715432
