Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,18,-0.4565,17,-0.6114,31,0.55758,24,-0.0063,25,0.01413
ENSG00000187634,SAMD11,34,0.88381,49,2.30080,6,-2.1635,4,-2.3489,9,-1.3329
ENSG00000188976,NOC2L,30,-0.3821,40,0.05181,48,0.48485,40,0.06946,27,-0.6100
ENSG00000188290,HES4,140,0.77275,61,-0.6404,88,0.01650,139,0.75016,77,-0.2335
ENSG00000187608,ISG15,83,0.86661,58,0.33612,37,-0.5272,27,-0.9093,50,0.06012
ENSG00000078808,SDF4,115,0.25397,118,0.37457,88,-0.2155,73,-0.4648,93,-0.0966
ENSG00000176022,B3GALT6,44,0.13062,51,0.45699,45,0.21262,26,-0.7120,29,-0.6407
ENSG00000160087,UBE2J2,17,-1.5848,56,0.19245,64,0.53965,41,-0.3252,41,-0.3597
ENSG00000131584,ACAP3,28,-0.7438,51,0.19611,38,-0.3628,95,1.17967,41,-0.2288
ENSG00000127054,INTS11,54,0.23479,65,0.67567,39,-0.3510,43,-0.1414,37,-0.4317
ENSG00000224051,CPTP,17,0.14622,10,-0.8049,16,-0.0140,20,0.37861,20,0.44077
ENSG00000107404,DVL1,64,0.23450,53,-0.0788,55,-0.0057,40,-0.4774,59,0.14826
ENSG00000175756,AURKAIP1,218,0.68583,120,-0.3253,135,-0.1102,138,-0.0487,151,0.11268
ENSG00000221978,CCNL2,29,-0.9507,62,0.27258,56,0.09998,51,-0.0901,52,-0.0746
ENSG00000242485,MRPL20,161,-0.1836,223,0.41972,162,-0.2280,145,-0.3401,182,0.01017
ENSG00000235098,ANKRD65,14,-0.8252,33,0.63914,21,-0.2485,4,-2.4826,28,0.34367
ENSG00000179403,VWA1,13,-1.5696,28,-0.4700,38,0.06462,21,-0.8683,57,0.91237
ENSG00000205090,TMEM240,2,-3.8536,26,-0.0896,31,0.25006,74,1.65074,17,-0.8045
ENSG00000160075,SSU72,163,-0.1563,211,0.31458,198,0.20888,119,-0.6351,151,-0.3266
ENSG00000228594,FNDC10,67,-0.1091,134,1.39252,70,-0.0568,14,-2.3712,32,-1.3782
ENSG00000272106,AL691432.2,10,-1.9073,36,-0.0875,37,-0.0567,69,0.97623,40,0.08474
ENSG00000197530,MIB2,20,-0.7825,50,0.77882,31,-0.2114,33,-0.0537,28,-0.3805
ENSG00000189339,SLC35E2B,15,-1.0646,34,0.26157,39,0.66145,29,-0.0283,17,-0.9244
ENSG00000215790,SLC35E2A,10,-0.9658,22,0.27333,16,-0.4007,32,0.82836,20,0.03571
ENSG00000008130,NADK,28,-0.0254,31,0.12939,28,-0.0291,35,0.30275,25,-0.2315
ENSG00000078369,GNB1,289,-0.5386,427,0.08528,437,0.14911,424,0.05829,387,-0.1042
ENSG00000187730,GABRD,3,-3.5041,7,-2.7315,1,-5.1948,327,4.99868,27,-0.5373
ENSG00000067606,PRKCZ,80,-0.9592,139,-0.1387,172,0.30610,219,0.61171,131,-0.2499
ENSG00000162585,FAAP20,56,-0.3940,97,0.57190,65,-0.2345,50,-0.5743,72,-0.0138
ENSG00000157933,SKI,9,-2.0772,25,-0.6226,32,-0.2342,53,0.60735,55,0.88498
ENSG00000157916,RER1,137,0.75376,102,0.34871,76,-0.2434,69,-0.3393,70,-0.3693
ENSG00000157911,PEX10,45,0.55831,40,0.43231,28,-0.2386,34,0.09770,24,-0.5505
ENSG00000149527,PLCH2,0,-6.6860,8,-0.9480,23,1.12766,15,0.07011,14,-0.0577
ENSG00000157881,PANK4,4,-2.0279,18,-0.0009,17,-0.0870,32,0.89360,19,0.10410
ENSG00000197921,HES5,19,-2.3050,115,0.52819,90,0.02679,12,-2.9383,109,0.41777
ENSG00000272449,AL139246.5,13,-1.1630,49,1.20282,25,-0.2086,4,-2.6722,24,-0.3198
ENSG00000157870,PRXL2B,39,-0.6512,67,0.21820,82,0.72198,22,-1.5136,44,-0.5731
ENSG00000158109,TPRG1L,131,-0.2027,167,0.22439,173,0.33790,153,0.04740,103,-0.6681
ENSG00000116213,WRAP73,9,-0.7501,21,0.59714,17,0.16562,14,-0.2218,11,-0.5843
ENSG00000130764,LRRC47,60,-0.7512,100,0.01706,127,0.58688,73,-0.4740,81,-0.3597
ENSG00000116198,CEP104,7,-1.5302,23,0.24215,21,0.07862,20,-0.0782,22,0.09001
ENSG00000198912,C1orf174,21,0.25838,14,-0.4252,29,1.14811,17,-0.1345,7,-1.5700
ENSG00000196581,AJAP1,5,-2.4458,18,-0.6023,29,0.25792,58,1.32571,25,-0.0480
ENSG00000069424,KCNAB2,51,-0.6197,22,-2.0897,73,-0.0851,244,2.00425,86,0.25037
ENSG00000116254,CHD5,50,-1.1337,92,-0.2712,175,1.27308,30,-1.9054,73,-0.6729
ENSG00000116251,RPL22,377,-0.3526,571,0.37815,372,-0.4910,416,-0.1981,558,0.33111
ENSG00000116237,ICMT,52,0.07800,60,0.37448,35,-0.6632,93,1.03314,42,-0.2929
ENSG00000097021,ACOT7,292,-0.0552,303,4.93971,371,0.46466,236,-0.3896,238,-0.4480
ENSG00000162408,NOL9,24,-0.6389,39,0.10331,41,0.20995,35,-0.0574,35,-0.1225
ENSG00000162413,KLHL21,14,-1.5163,39,0.06818,45,0.41057,43,0.21131,33,-0.2769
