ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000132849	INADL	1	62208149	62629592	1	protein_coding	10207	INADL	6.18135248541528e-26	0.297697396	1	0.225	0	NA	NA	NA	NA	No	NA	NA	rs181369102	1
ENSG00000162607	USP1	1	62901968	62917475	1	protein_coding	7398	USP1	0.993180568281562	-1.542076225	3	3.435	0	NA	NA	NA	NA	No	NA	2.76404e-06	rs181369102	1
ENSG00000116641	DOCK7	1	62920399	63153969	-1	protein_coding	85440	DOCK7	0.771361085896655	NA	3	3.975	0	NA	NA	NA	NA	No	NA	2.76404e-06	rs181369102	1
ENSG00000125703	ATG4C	1	63249806	63331184	1	protein_coding	84938	ATG4C	3.32761781234443e-09	-0.809376853	2	8.957	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs181369102	1
ENSG00000178965	C1orf173	1	75033795	75139422	-1	protein_coding	127254	C1orf173	4.16253138952944e-32	-0.687768342	1	1.849	0	NA	NA	NA	NA	No	NA	NA	rs530085110	2
ENSG00000162623	TYW3	1	75198836	75232362	1	protein_coding	127253	TYW3	0.431871959845862	0.692430151	1	0.646	0	NA	NA	NA	NA	No	NA	NA	rs530085110	2
ENSG00000137968	SLC44A5	1	75667816	76076801	-1	protein_coding	204962	SLC44A5	0.0342286898388776	0.661940842	5	12.85	0	NA	NA	NA	NA	No	NA	9.42055e-06	rs530085110	2
ENSG00000120341	SEC16B	1	177893091	177953438	-1	protein_coding	89866	SEC16B	4.43622376673842e-13	-0.216201698	5	15.31	0	NA	NA	NA	NA	No	NA	1.38416e-05	rs1336780	3
ENSG00000154380	ENAH	1	225674537	225840844	-1	protein_coding	55740	ENAH	0.995700037438515	-0.004988799	3	7.832	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	5.33686e-06	rs17504957	4
ENSG00000143742	SRP9	1	225965531	225978168	1	protein_coding	6726	SRP9	0.308171838775694	-0.229774838	2	0.592	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	5.33686e-06	rs17504957	4
ENSG00000243709	LEFTY1	1	226073982	226099082	-1	protein_coding	10637	LEFTY1	6.88020467750251e-05	0.426227262	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	0.0148553	rs17504957	4
ENSG00000143768	LEFTY2	1	226124298	226129189	-1	protein_coding	10637	LEFTY2	0.122897476061549	-0.647907632	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex	5.33686e-06	rs17504957	4
ENSG00000143751	SDE2	1	226170403	226187032	-1	protein_coding	163859	SDE2	5.17001532782485e-07	-1.619069595	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	0.0148553	rs17504957	4
ENSG00000049323	LTBP1	2	33172039	33624576	1	protein_coding	4052	LTBP1	0.526234698119928	1.161890182	2	1.95	0	NA	NA	NA	NA	No	NA	2.56881e-06	rs185806435	5
ENSG00000179915	NRXN1	2	50145643	51259674	-1	protein_coding	9378	NRXN1	0.999948738356297	-0.420818264	10	42	0	NA	NA	NA	NA	No	NA	0.000383938	rs533089289	6
ENSG00000186889	TMEM17	2	62727356	62739029	-1	protein_coding	200728	TMEM17	0.00402396190447031	0.545845308	0	0	1	0.0486814	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	2.70938e-06	rs13431584	7
ENSG00000143951	WDPCP	2	63348518	64054977	-1	protein_coding	51057	WDPCP	2.32411054871015e-09	-0.884584249	1	6.688	1	0.00987128	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	2.70938e-06	rs13431584	7
ENSG00000014641	MDH1	2	63815743	63834331	1	protein_coding	4190	MDH1	0.982634617401256	-0.408839334	0	0	1	0.0313419	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	2.70938e-06	rs13431584	7
